"MFRBlockHz","tf_MedIsi","tf_Entropy","tf_CV2Mean","tf_LvR","Sample","Unit","RespPk","RespGo","RespMLI","RespMF","RespGr","PrevClust","NewCluster"
23.87,0.019,5.071,1.566,117.505,"19-08-14_YC015_probe2",643,0,0,0,0,0,"GoMF",3
23.89,0.017,5.398,0.975,87.359,"19-08-14_YC015_probe1",847,0,0,0,0,0,"GoMF",1
16.23,0.028,6.013,0.986,67.666,"19-08-14_YC015_probe1",850,0,0,0,0,0,"GoMF",1
23.68,0.012,5.077,0.942,90.098,"19-08-14_YC015_probe1",851,0,0,0,0,0,"GoMF",1
6.53,0.053,5.172,1.047,40.48,"19-08-14_YC015_probe1",864,0,0,0,0,0,"GoMF",2
5.73,0.113,6.314,1.183,35.504,"19-08-14_YC015_probe1",882,0,0,0,0,0,"GoMF",4
7.81,0.013,4.254,0.622,25.208,"19-08-14_YC016_probe1",1020,0,0,0,0,0,"GoMF",3
14.78,0.034,5.168,0.818,36.149,"19-08-14_YC016_probe1",1058,0,0,0,0,0,"GoMF",2
12.33,0.003,2.891,0.905,43.125,"19-08-14_YC016_probe1",162,0,0,0,0,0,"GoMF",3
11.51,0.019,4.88,0.96,45.187,"19-08-14_YC016_probe1",276,0,0,0,0,0,"GoMF",2
6.02,0.057,5.443,1.079,28.344,"19-08-14_YC016_probe1",299,0,0,0,0,0,"GoMF",2
12.72,0.039,5.735,0.905,45.401,"19-08-14_YC016_probe1",529,0,0,0,0,0,"GoMF",1
6.65,0.051,5.292,0.887,26.565,"19-08-14_YC016_probe1",944,0,0,0,0,0,"GoMF",2
55.79,0.009,5.437,0.775,66.005,"19-08-14_YC016_probe1",972,0,0,0,0,0,"GoMF",1
15.06,0.017,4.573,0.817,45.315,"19-08-14_YC016_probe1",99,0,0,0,0,0,"GoMF",2
28.23,0.024,6.107,0.925,63.762,"19-08-14_YC016_probe2",167,0,0,0,0,0,"GoMF",1
8.28,0.092,5.893,1.1,47.471,"19-08-14_YC016_probe2",210,0,0,0,0,0,"GoMF",4
42.02,0.011,5.474,0.826,84.766,"19-08-14_YC016_probe2",211,0,0,0,0,0,"GoMF",1
25.42,0.011,4.378,0.962,92.073,"19-08-14_YC016_probe2",216,0,0,0,0,0,"GoMF",1
38.2,0.017,6.576,0.903,88.198,"19-08-14_YC016_probe2",429,0,0,0,0,0,"GoMF",1
63.06,0.007,5.29,1.161,220.284,"19-08-14_YC016_probe2",825,0,0,0,0,0,"GoMF",1
17.06,0.038,6.596,1.05,57.224,"19-08-14_YC016_probe2",834,0,0,0,0,0,"GoMF",1
14.46,0.033,5.933,0.918,42.469,"19-08-14_YC016_probe2",849,0,0,0,0,0,"GoMF",1
39.14,0.01,4.304,0.738,90.19,"19-08-14_YC016_probe2",876,0,0,0,0,0,"GoMF",1
11.15,0.028,5.34,1.025,61.532,"19-08-15_YC016_probe1",374,0,0,0,0,0,"GoMF",2
26.45,0.017,5.556,0.912,60.951,"19-08-15_YC016_probe1",41,0,0,0,0,0,"GoMF",1
19.16,0.024,6.069,1.026,71.803,"19-08-15_YC016_probe1",485,0,0,0,0,0,"GoMF",1
44.16,0.01,5.341,0.908,103.063,"19-08-15_YC016_probe1",80,0,0,0,0,0,"GoMF",1
7.45,0.022,4.446,0.989,42.276,"19-08-15_YC016_probe1",86,0,0,0,0,0,"GoMF",2
10.68,0.033,4.879,0.799,28.1,"19-08-15_YC016_probe1",95,0,0,0,0,0,"GoMF",2
23.79,0.02,6.111,1.043,88.22,"19-08-16_YC014_probe1",329,0,0,0,0,0,"GoMF",1
14.94,0.024,5.675,1.012,71.669,"19-08-16_YC014_probe1",396,0,0,0,0,0,"GoMF",1
6.95,0.046,4.898,0.897,16.712,"19-08-16_YC014_probe1",43,0,0,0,0,0,"GoMF",4
14.88,0.044,5.436,0.962,33.735,"19-08-16_YC014_probe1",79,0,0,0,0,0,"GoMF",2
1.54,0.024,3.733,1.391,79.828,"19-08-16_YC015_probe1",27,0,0,0,0,0,"GoMF",3
7.59,0.042,4.107,0.961,32.887,"19-09-30_YC017_probe1",104,0,0,0,0,0,"GoMF",2
6.37,0.026,4.507,1.001,22.726,"19-09-30_YC017_probe1",322,0,0,0,0,0,"GoMF",2
13.02,0.036,5.526,0.872,34.403,"19-09-30_YC017_probe1",532,0,0,0,0,0,"GoMF",2
10.35,0.009,2.419,0.767,30.742,"19-09-30_YC017_probe1",867,0,0,0,0,0,"GoMF",3
27.15,0.016,5.708,0.962,75.669,"19-09-30_YC018_probe1",136,0,0,0,0,0,"GoMF",1
10.21,0.026,5.144,0.969,51.156,"19-09-30_YC018_probe1",146,0,0,0,0,0,"GoMF",2
20.61,0.019,5.627,0.985,76.989,"19-09-30_YC018_probe1",451,0,0,0,0,0,"GoMF",1
8.88,0.048,4.135,0.673,15.276,"19-09-30_YC018_probe1",486,0,0,0,0,0,"GoMF",3
