"MFRBlockHz","tf_MedIsi","tf_Entropy","tf_CV2Mean","tf_LvR","Sample","Unit","RespPk","RespGo","RespMLI","RespMF","RespGr","PrevClust","PAMCluster"
1.43,0.603,7.231,0.772,2.292,"18-08-30_YC001_probe1",261,0,0,0,0,0,"CS",2
159.05,0.006,6.06,0.221,14.909,"18-08-30_YC001_probe1",263,0,0,0,0,0,"Pk",3
168.96,0.005,6.164,0.202,13.339,"18-08-30_YC001_probe1",266,0,0,0,0,0,"Pk",3
93.24,0.007,5.304,0.466,34.026,"18-08-30_YC001_probe1",267,0,0,0,0,0,"Unknown",3
1.02,0.832,7.179,0.829,2.07,"18-08-30_YC001_probe1",27,0,0,0,0,0,"CS",2
25.04,0.037,7.071,0.414,8.388,"18-08-30_YC001_probe1",272,0,0,0,0,0,"Pk",1
51.53,0.018,7.263,0.48,21.558,"18-08-30_YC001_probe1",281,0,0,0,0,0,"Pk",1
18.64,0.048,7.182,0.48,8.673,"18-08-30_YC001_probe1",288,0,0,0,0,0,"MLI",1
16,0.033,6.099,0.965,37.243,"18-08-30_YC001_probe1",291,0,0,0,0,0,"MLI",4
11.64,0.067,6.977,0.661,12.547,"18-08-30_YC001_probe1",292,0,0,0,0,0,"MLI",1
70.34,0.011,6.551,0.61,43.708,"18-08-30_YC001_probe1",296,0,0,0,0,0,"Pk",3
64.02,0.014,7.041,0.384,16.877,"18-08-30_YC001_probe1",298,0,0,0,0,0,"Pk",1
11.77,0.063,6.839,0.676,13.386,"18-08-30_YC001_probe1",302,0,0,0,0,0,"MLI",1
69.85,0.014,7.308,0.251,8.315,"18-08-30_YC001_probe1",303,1,0,0,0,0,"Pk",1
109.22,0.008,6.712,0.321,19.848,"18-08-30_YC001_probe1",304,0,0,0,0,0,"Pk",3
49.26,0.019,7.085,0.309,8.796,"18-08-30_YC001_probe1",315,1,0,0,0,0,"Pk",1
184.93,0.005,6.385,0.282,27.193,"18-08-30_YC001_probe1",357,0,0,0,0,0,"Pk",3
139.05,0.006,6.557,0.333,26.856,"18-08-30_YC001_probe1",358,0,0,0,0,0,"Pk",3
177.94,0.005,5.831,0.259,25.794,"18-08-30_YC001_probe1",359,0,0,0,0,0,"Pk",3
61.61,0.015,7.205,0.335,12.743,"18-08-30_YC001_probe1",362,0,0,0,0,0,"Pk",1
27.51,0.03,6.623,0.513,16.924,"18-08-30_YC001_probe1",369,0,0,0,0,0,"MLI",1
101.95,0.008,6.857,0.419,30.414,"18-08-30_YC001_probe1",376,1,0,0,0,0,"Pk",3
34.64,0.023,6.613,0.63,29.141,"18-08-30_YC001_probe1",377,0,0,0,0,0,"Pk",1
2.62,0.135,5.924,1.213,23.25,"18-08-30_YC001_probe1",396,0,0,0,0,0,"Gr",5
48.43,0.009,4.303,0.685,77.102,"18-08-30_YC001_probe1",398,0,0,0,0,0,"GoMF",4
15.01,0.055,7.053,0.505,8.559,"18-08-30_YC001_probe1",399,0,0,0,0,0,"MLI",1
0.4,1.622,5.538,0.981,1.795,"18-08-30_YC001_probe1",44,0,0,0,0,0,"CS",2
24.47,0.037,7.173,0.579,16.792,"18-08-30_YC001_probe1",45,0,0,0,0,0,"MLI",1
12.06,0.068,6.948,0.61,8.421,"18-08-30_YC001_probe1",46,0,0,0,0,0,"MLI",1
1.49,0.559,7.1,0.782,2.428,"18-08-30_YC001_probe1",465,0,0,0,0,0,"CS",2
7.33,0.055,5.999,1.076,27.626,"18-08-30_YC001_probe1",48,0,0,0,0,0,"MLI",5
1.33,0.657,7.256,0.822,2.542,"18-08-30_YC001_probe1",494,0,0,0,0,0,"CS",2
137.18,0.006,6.659,0.325,25.737,"18-08-30_YC001_probe1",54,0,0,0,0,0,"Pk",3
167.26,0.005,5.502,0.235,21.519,"18-08-30_YC001_probe1",565,0,0,0,0,0,"Pk",3
1.3,0.656,7.167,0.768,2.163,"18-08-30_YC001_probe1",69,0,0,0,0,0,"CS",2
10.27,0.065,6.867,0.838,17.094,"18-08-30_YC001_probe1",70,0,0,0,0,0,"MLI",1
