Sample,Unit,Unit_Peak_Ch,Unit_Spikes,Unit_Wvf_Peaks,Unit_vs_Temp_CS,Unit_vs_Temp_CS_dummy,Unit_RPV,Unit_Fp,Unit_MFR,Unit_MeanAmp,Unit_MinAmp,Unit_Missing_Spikes,Unit_Missing_Spikes_dummy,Chunk,Chunk_Len,Chunk_Spikes,Chunk_Peaks_Wvf,Chunk_vs_Temp_CS,Chunk_vs_Temp_CS_dummy,Chunk_vs_Unit_CS,Chunk_vs_Unit_CS_dummy,Chunk_RPV,Chunk_Fp,Chunk_MFR,Chunk_MA,Chunk_Missing_Spikes,Chunk_Missing_Spikes_dummy
19-01-16_YC011,64,150,3435,3,0.77,1,0,0,3.86,15.55,12.662247333526611,2,1,0,"(0, 60)",77,3,0.63,1,0.95,1,0,0,1.81,15.29,16,1
19-01-16_YC011,64,150,3435,3,0.77,1,0,0,3.86,15.55,12.662247333526611,2,1,1,"(60, 120)",133,3,0.67,1,0.98,1,0,0,3.82,14.8,12,1
19-01-16_YC011,64,150,3435,3,0.77,1,0,0,3.86,15.55,12.662247333526611,2,1,2,"(120, 180)",138,4,0.7,1,0.96,1,0,0,3.68,15.05,22,1
19-01-16_YC011,64,150,3435,3,0.77,1,0,0,3.86,15.55,12.662247333526611,2,1,3,"(180, 240)",102,2,0.74,1,0.99,1,0,0,2.13,15.53,17,1
19-01-16_YC011,64,150,3435,3,0.77,1,0,0,3.86,15.55,12.662247333526611,2,1,4,"(240, 300)",114,3,0.74,1,0.98,1,0,0,2.5,15.41,5,1
19-01-16_YC011,64,150,3435,3,0.77,1,0,0,3.86,15.55,12.662247333526611,2,1,5,"(300, 360)",183,2,0.73,1,0.99,1,0,0,4.2,15.77,10,1
19-01-16_YC011,64,150,3435,3,0.77,1,0,0,3.86,15.55,12.662247333526611,2,1,6,"(360, 420)",197,3,0.73,1,0.99,1,0,0,4.2,15.56,9,1
19-01-16_YC011,64,150,3435,3,0.77,1,0,0,3.86,15.55,12.662247333526611,2,1,7,"(420, 480)",225,2,0.77,1,0.99,1,0,0,4.41,15.76,9,1
19-01-16_YC011,64,150,3435,3,0.77,1,0,0,3.86,15.55,12.662247333526611,2,1,8,"(480, 540)",177,2,0.77,1,0.99,1,0,0,3.7,15.45,4,1
19-01-16_YC011,64,150,3435,3,0.77,1,0,0,3.86,15.55,12.662247333526611,2,1,9,"(540, 600)",238,3,0.77,1,0.99,1,0,0,4.99,15.64,9,1
19-01-16_YC011,64,150,3435,3,0.77,1,0,0,3.86,15.55,12.662247333526611,2,1,10,"(600, 660)",220,4,0.77,1,0.99,1,0,0,5.15,15.66,6,1
19-01-16_YC011,64,150,3435,3,0.77,1,0,0,3.86,15.55,12.662247333526611,2,1,11,"(660, 720)",184,3,0.79,1,0.99,1,0,0,3.93,15.58,3,1
19-01-16_YC011,64,150,3435,3,0.77,1,0,0,3.86,15.55,12.662247333526611,2,1,12,"(720, 780)",204,3,0.78,1,0.98,1,0,0,4.6,15.47,8,1
19-01-16_YC011,64,150,3435,3,0.77,1,0,0,3.86,15.55,12.662247333526611,2,1,13,"(780, 840)",266,3,0.79,1,0.99,1,0,0,5.62,15.79,7,1
19-01-16_YC011,64,150,3435,3,0.77,1,0,0,3.86,15.55,12.662247333526611,2,1,14,"(840, 900)",177,3,0.76,1,0.99,1,0,0,3.59,15.61,2,1
19-01-16_YC011,64,150,3435,3,0.77,1,0,0,3.86,15.55,12.662247333526611,2,1,15,"(900, 960)",181,3,0.75,1,1.0,1,0,0,3.88,15.4,8,1
19-01-16_YC011,64,150,3435,3,0.77,1,0,0,3.86,15.55,12.662247333526611,2,1,16,"(960, 1020)",140,3,0.78,1,0.99,1,0,0,3.25,15.09,1,1
19-01-16_YC011,64,150,3435,3,0.77,1,0,0,3.86,15.55,12.662247333526611,2,1,17,"(1020, 1080)",178,3,0.78,1,0.99,1,0,0,3.73,15.62,9,1
19-01-16_YC011,64,150,3435,3,0.77,1,0,0,3.86,15.55,12.662247333526611,2,1,18,"(1080, 1140)",224,3,0.78,1,0.99,1,0,0,4.71,15.69,8,1
19-01-16_YC011,64,150,3435,3,0.77,1,0,0,3.86,15.55,12.662247333526611,2,1,19,"(1140, 1200)",77,3,0.76,1,0.97,1,0,0,1.53,15.5,6,1
