Sample,Unit,Unit_Peak_Ch,Unit_Spikes,Unit_Spikes_dummy,Unit_Wvf_Peaks,Unit_Wvf_Peaks_dummy,Unit_Biggest_Peak,Unit_vs_Temp_CS,Unit_vs_Temp_CS_dummy,Unit_RPV,Unit_Fp,Unit_Fp_dummy,Unit_MFR,Unit_MeanAmp,Unit_MinAmp,Unit_Missing_Spikes,Unit_Missing_Spikes_dummy,Chunk,Chunk_Len,Chunk_Spikes,Chunk_Wvf_Peaks,Chunk_Wvf_Peaks_dummy,Chunk_Biggest_Peak,Chunk_vs_Temp_CS,Chunk_vs_Temp_CS_dummy,Chunk_vs_Unit_CS,Chunk_vs_Unit_CS_dummy,Chunk_RPV,Chunk_Fp,Chunk_MFR,Chunk_MA,Chunk_Missing_Spikes,Chunk_Missing_Spikes_dummy
19-01-16_YC011,52,134,9563,1,2,1,0,1.0,1,142,1,1,11.1,13.96,12.209522972106933,25,1,0,"(0, 60)",276,2,1,0,1.0,1,1.0,1,0,0.0,6.5,13.57,56,1
19-01-16_YC011,52,134,9563,1,2,1,0,1.0,1,142,1,1,11.1,13.96,12.209522972106933,25,1,1,"(60, 120)",456,2,1,0,0.99,1,1.0,1,7,1.0,11.04,13.8,27,1
19-01-16_YC011,52,134,9563,1,2,1,0,1.0,1,142,1,1,11.1,13.96,12.209522972106933,25,1,2,"(120, 180)",431,2,1,0,0.99,1,1.0,1,0,0.0,10.9,13.99,21,1
19-01-16_YC011,52,134,9563,1,2,1,0,1.0,1,142,1,1,11.1,13.96,12.209522972106933,25,1,3,"(180, 240)",545,2,1,0,0.99,1,1.0,1,1,0.0726060359122099,11.79,14.06,13,1
19-01-16_YC011,52,134,9563,1,2,1,0,1.0,1,142,1,1,11.1,13.96,12.209522972106933,25,1,4,"(240, 300)",464,2,1,0,0.99,1,1.0,1,1,0.10363572646301213,10.58,13.88,21,1
19-01-16_YC011,52,134,9563,1,2,1,0,1.0,1,142,1,1,11.1,13.96,12.209522972106933,25,1,5,"(300, 360)",568,2,1,0,1.0,1,1.0,1,2,0.14501174194004054,12.6,13.92,47,1
19-01-16_YC011,52,134,9563,1,2,1,0,1.0,1,142,1,1,11.1,13.96,12.209522972106933,25,1,6,"(360, 420)",432,2,1,0,1.0,1,1.0,1,4,0.0,9.68,13.97,21,1
19-01-16_YC011,52,134,9563,1,2,1,0,1.0,1,142,1,1,11.1,13.96,12.209522972106933,25,1,7,"(420, 480)",473,2,1,0,1.0,1,1.0,1,0,0.0,10.9,13.83,21,1
19-01-16_YC011,52,134,9563,1,2,1,0,1.0,1,142,1,1,11.1,13.96,12.209522972106933,25,1,8,"(480, 540)",391,2,1,0,1.0,1,1.0,1,0,0.0,8.61,13.9,34,1
19-01-16_YC011,52,134,9563,1,2,1,0,1.0,1,142,1,1,11.1,13.96,12.209522972106933,25,1,9,"(540, 600)",528,2,1,0,1.0,1,1.0,1,0,0.0,12.25,13.88,33,1
19-01-16_YC011,52,134,9563,1,2,1,0,1.0,1,142,1,1,11.1,13.96,12.209522972106933,25,1,10,"(600, 660)",576,2,1,0,1.0,1,1.0,1,10,1.0,13.29,13.99,20,1
19-01-16_YC011,52,134,9563,1,2,1,0,1.0,1,142,1,1,11.1,13.96,12.209522972106933,25,1,11,"(660, 720)",460,2,1,0,0.99,1,1.0,1,9,1.0,10.17,13.99,43,1
19-01-16_YC011,52,134,9563,1,2,1,0,1.0,1,142,1,1,11.1,13.96,12.209522972106933,25,1,12,"(720, 780)",497,2,1,0,0.99,1,1.0,1,24,2.0,11.35,13.9,37,1
19-01-16_YC011,52,134,9563,1,2,1,0,1.0,1,142,1,1,11.1,13.96,12.209522972106933,25,1,13,"(780, 840)",484,2,1,0,0.99,1,1.0,1,14,1.0,11.15,13.88,21,1
19-01-16_YC011,52,134,9563,1,2,1,0,1.0,1,142,1,1,11.1,13.96,12.209522972106933,25,1,14,"(840, 900)",602,2,1,0,0.99,1,1.0,1,38,2.0,14.35,13.96,30,1
19-01-16_YC011,52,134,9563,1,2,1,0,1.0,1,142,1,1,11.1,13.96,12.209522972106933,25,1,15,"(900, 960)",518,2,1,0,0.99,1,1.0,1,10,1.0,12.87,13.82,21,1
19-01-16_YC011,52,134,9563,1,2,1,0,1.0,1,142,1,1,11.1,13.96,12.209522972106933,25,1,16,"(960, 1020)",311,2,1,0,1.0,1,1.0,1,3,0.0,7.81,13.73,33,1
19-01-16_YC011,52,134,9563,1,2,1,0,1.0,1,142,1,1,11.1,13.96,12.209522972106933,25,1,17,"(1020, 1080)",622,2,1,0,1.0,1,1.0,1,19,1.0,14.15,13.76,26,1
19-01-16_YC011,52,134,9563,1,2,1,0,1.0,1,142,1,1,11.1,13.96,12.209522972106933,25,1,18,"(1080, 1140)",452,2,1,0,0.99,1,1.0,1,14,1.0,10.25,13.87,33,1
19-01-16_YC011,52,134,9563,1,2,1,0,1.0,1,142,1,1,11.1,13.96,12.209522972106933,25,1,19,"(1140, 1200)",477,2,1,0,1.0,1,1.0,1,12,1.0,11.23,13.72,34,1
