Sample,Unit,Unit_Peak_Ch,Unit_Spikes,Unit_Wvf_Peaks,Unit_vs_Temp_CS,Unit_vs_Temp_CS_dummy,Unit_RPV,Unit_Fp,Unit_MFR,Unit_MeanAmp,Unit_MinAmp,Unit_Missing_Spikes,Unit_Missing_Spikes_dummy,Chunk,Chunk_Len,Chunk_Spikes,Chunk_Peaks_Wvf,Chunk_vs_Temp_CS,Chunk_vs_Temp_CS_dummy,Chunk_vs_Unit_CS,Chunk_vs_Unit_CS_dummy,Chunk_RPV,Chunk_Fp,Chunk_MFR,Chunk_MA,Chunk_Missing_Spikes,Chunk_Missing_Spikes_dummy
19-01-16_YC011,26,81,85461,2,0.98,1,0,0,78.3,13.61,12.126099014282227,33,0,0,"(0, 60)",4720,2,0.99,1,1.0,1,0,0,85.96,13.85,24,0
19-01-16_YC011,26,81,85461,2,0.98,1,0,0,78.3,13.61,12.126099014282227,33,0,1,"(60, 120)",4667,2,0.99,1,1.0,1,0,0,85.28,13.62,43,0
19-01-16_YC011,26,81,85461,2,0.98,1,0,0,78.3,13.61,12.126099014282227,33,0,2,"(120, 180)",3840,2,0.98,1,1.0,1,0,0,70.75,13.39,61,0
19-01-16_YC011,26,81,85461,2,0.98,1,0,0,78.3,13.61,12.126099014282227,33,0,3,"(180, 240)",4457,2,0.98,1,1.0,1,0,0,81.46,13.56,32,0
19-01-16_YC011,26,81,85461,2,0.98,1,0,0,78.3,13.61,12.126099014282227,33,0,4,"(240, 300)",4501,2,0.98,1,1.0,1,0,0,82.2,13.57,37,0
19-01-16_YC011,26,81,85461,2,0.98,1,0,0,78.3,13.61,12.126099014282227,33,0,5,"(300, 360)",4339,2,0.98,1,1.0,1,0,0,79.39,13.67,34,0
19-01-16_YC011,26,81,85461,2,0.98,1,0,0,78.3,13.61,12.126099014282227,33,0,6,"(360, 420)",4096,2,0.99,1,1.0,1,0,0,75.43,13.53,46,0
19-01-16_YC011,26,81,85461,2,0.98,1,0,0,78.3,13.61,12.126099014282227,33,0,7,"(420, 480)",4320,2,0.99,1,1.0,1,0,0,78.95,13.65,31,0
19-01-16_YC011,26,81,85461,2,0.98,1,0,0,78.3,13.61,12.126099014282227,33,0,8,"(480, 540)",4333,2,0.98,1,1.0,1,0,0,79.37,13.49,38,0
19-01-16_YC011,26,81,85461,2,0.98,1,0,0,78.3,13.61,12.126099014282227,33,0,9,"(540, 600)",4435,2,0.98,1,1.0,1,0,0,80.77,13.53,36,0
19-01-16_YC011,26,81,85461,2,0.98,1,0,0,78.3,13.61,12.126099014282227,33,0,10,"(600, 660)",4327,2,0.98,1,1.0,1,0,0,79.12,13.53,36,0
19-01-16_YC011,26,81,85461,2,0.98,1,0,0,78.3,13.61,12.126099014282227,33,0,11,"(660, 720)",4338,2,0.98,1,1.0,1,0,0,79.2,13.53,38,0
19-01-16_YC011,26,81,85461,2,0.98,1,0,0,78.3,13.61,12.126099014282227,33,0,12,"(720, 780)",4100,2,0.98,1,1.0,1,0,0,74.65,13.46,42,0
19-01-16_YC011,26,81,85461,2,0.98,1,0,0,78.3,13.61,12.126099014282227,33,0,13,"(780, 840)",4180,2,0.98,1,1.0,1,0,0,76.55,13.49,43,0
19-01-16_YC011,26,81,85461,2,0.98,1,0,0,78.3,13.61,12.126099014282227,33,0,14,"(840, 900)",4122,2,0.98,1,1.0,1,0,0,75.51,13.44,43,0
19-01-16_YC011,26,81,85461,2,0.98,1,0,0,78.3,13.61,12.126099014282227,33,0,15,"(900, 960)",4220,2,0.98,1,1.0,1,0,0,77.08,13.47,36,0
19-01-16_YC011,26,81,85461,2,0.98,1,0,0,78.3,13.61,12.126099014282227,33,0,16,"(960, 1020)",3887,2,0.98,1,1.0,1,0,0,71.55,13.37,52,0
19-01-16_YC011,26,81,85461,2,0.98,1,0,0,78.3,13.61,12.126099014282227,33,0,17,"(1020, 1080)",4202,2,0.98,1,1.0,1,0,0,77.25,13.43,40,0
19-01-16_YC011,26,81,85461,2,0.98,1,0,0,78.3,13.61,12.126099014282227,33,0,18,"(1080, 1140)",4395,2,0.98,1,1.0,1,0,0,80.88,13.5,37,0
19-01-16_YC011,26,81,85461,2,0.98,1,0,0,78.3,13.61,12.126099014282227,33,0,19,"(1140, 1200)",3982,2,0.98,1,1.0,1,0,0,73.08,13.4,51,0
