Sample,Unit,Unit_Peak_Ch,Unit_Spikes,Unit_Peaks_Wvf,Unit_vs_Temp_CS,Unit_vs_Temp_CS_t,Unit_RPV,Unit_Fp,Unit_MFR,Unit_MA,Unit_Peak_Detection_t,Unit_Drift_TR,Unit_Drif_TR_t,Chunk,Chunk_Len,Chunk_Spikes,Chunk_Peaks_Wvf,Chunk_vs_Temp_CS,Chunk_vs_Temp_CS_t,Chunk_vs_Unit_CS,Chunk_vs_Unit_CS_t,Chunk_RPV,Chunk_Fp,Chunk_MFR,Chunk_MA,Chunk_Drift_TR,Chunk_Drift_TR_t
19-01-16_YC011,121,230,57024,2,0.96,1,0,0,53.02,18.47,13.922623329162597,1,1,0,"(0, 60)",3355,2,0.93,1,0.99,1,0,0,62.14,21.17,7,1
19-01-16_YC011,121,230,57024,2,0.96,1,0,0,53.02,18.47,13.922623329162597,1,1,1,"(60, 120)",3197,2,0.92,1,0.99,1,0,0,59.61,19.63,6,1
19-01-16_YC011,121,230,57024,2,0.96,1,0,0,53.02,18.47,13.922623329162597,1,1,2,"(120, 180)",3016,2,0.92,1,0.99,1,0,0,56.68,16.73,9,1
19-01-16_YC011,121,230,57024,2,0.96,1,0,0,53.02,18.47,13.922623329162597,1,1,3,"(180, 240)",2564,2,0.93,1,0.99,1,0,0,47.73,17.18,8,1
19-01-16_YC011,121,230,57024,2,0.96,1,0,0,53.02,18.47,13.922623329162597,1,1,4,"(240, 300)",2717,2,0.93,1,0.99,1,0,0,50.97,17.15,13,1
19-01-16_YC011,121,230,57024,2,0.96,1,0,0,53.02,18.47,13.922623329162597,1,1,5,"(300, 360)",2671,2,0.93,1,1.0,1,0,0,49.76,17.26,6,1
19-01-16_YC011,121,230,57024,2,0.96,1,0,0,53.02,18.47,13.922623329162597,1,1,6,"(360, 420)",2981,2,0.94,1,1.0,1,0,0,54.94,17.43,8,1
19-01-16_YC011,121,230,57024,2,0.96,1,0,0,53.02,18.47,13.922623329162597,1,1,7,"(420, 480)",2670,2,0.95,1,1.0,1,0,0,49.23,17.79,7,1
19-01-16_YC011,121,230,57024,2,0.96,1,0,0,53.02,18.47,13.922623329162597,1,1,8,"(480, 540)",2905,2,0.96,1,1.0,1,0,0,53.58,18.18,8,1
19-01-16_YC011,121,230,57024,2,0.96,1,0,0,53.02,18.47,13.922623329162597,1,1,9,"(540, 600)",2604,1,0.97,1,1.0,1,0,0,48.68,18.35,7,1
19-01-16_YC011,121,230,57024,2,0.96,1,0,0,53.02,18.47,13.922623329162597,1,1,10,"(600, 660)",2729,2,0.96,1,1.0,1,0,0,50.69,18.44,10,1
19-01-16_YC011,121,230,57024,2,0.96,1,0,0,53.02,18.47,13.922623329162597,1,1,11,"(660, 720)",2807,2,0.97,1,1.0,1,0,0,52.14,18.59,7,1
19-01-16_YC011,121,230,57024,2,0.96,1,0,0,53.02,18.47,13.922623329162597,1,1,12,"(720, 780)",2791,2,0.97,1,1.0,1,0,0,51.52,18.44,8,1
19-01-16_YC011,121,230,57024,2,0.96,1,0,0,53.02,18.47,13.922623329162597,1,1,13,"(780, 840)",2974,1,0.97,1,1.0,1,0,0,54.85,18.4,8,1
19-01-16_YC011,121,230,57024,2,0.96,1,0,0,53.02,18.47,13.922623329162597,1,1,14,"(840, 900)",2953,1,0.97,1,1.0,1,0,0,55.39,18.37,6,1
19-01-16_YC011,121,230,57024,2,0.96,1,0,0,53.02,18.47,13.922623329162597,1,1,15,"(900, 960)",2834,1,0.97,1,1.0,1,0,0,53.35,18.39,7,1
19-01-16_YC011,121,230,57024,2,0.96,1,0,0,53.02,18.47,13.922623329162597,1,1,16,"(960, 1020)",2836,1,0.97,1,1.0,1,0,0,52.39,18.69,8,1
19-01-16_YC011,121,230,57024,2,0.96,1,0,0,53.02,18.47,13.922623329162597,1,1,17,"(1020, 1080)",2710,2,0.96,1,1.0,1,0,0,50.34,19.02,7,1
19-01-16_YC011,121,230,57024,2,0.96,1,0,0,53.02,18.47,13.922623329162597,1,1,18,"(1080, 1140)",2904,2,0.97,1,1.0,1,0,0,54.29,19.16,7,1
19-01-16_YC011,121,230,57024,2,0.96,1,0,0,53.02,18.47,13.922623329162597,1,1,19,"(1140, 1200)",2806,1,0.97,1,1.0,1,0,0,52.09,18.96,7,1
