Sample,Unit,Unit_Peak_Ch,Unit_Spikes,Unit_Spikes_dummy,Unit_Wvf_Peaks,Unit_Wvf_Peaks_dummy,Unit_Biggest_Peak,Unit_vs_Temp_CS,Unit_vs_Temp_CS_dummy,Unit_RPV,Unit_Fp,Unit_Fp_dummy,Unit_MFR,Unit_MeanAmp,Unit_MinAmp,Unit_Missing_Spikes,Unit_Missing_Spikes_dummy,Chunk,Chunk_Len,Chunk_Spikes,Chunk_Wvf_Peaks,Chunk_Wvf_Peaks_dummy,Chunk_Biggest_Peak,Chunk_vs_Temp_CS,Chunk_vs_Temp_CS_dummy,Chunk_vs_Unit_CS,Chunk_vs_Unit_CS_dummy,Chunk_RPV,Chunk_Fp,Chunk_MFR,Chunk_MA,Chunk_Missing_Spikes,Chunk_Missing_Spikes_dummy
19-01-16_YC011,98,192,1843,1,3,1,1,0.96,1,0,0,1,1.63,30.32,21.544173431396487,0,1,0,"(0, 60)",101,2,1,1,0.94,1,1.0,1,0,0,1.78,29.64,3,1
19-01-16_YC011,98,192,1843,1,3,1,1,0.96,1,0,0,1,1.63,30.32,21.544173431396487,0,1,1,"(60, 120)",95,2,1,1,0.95,1,1.0,1,0,0,1.74,30.64,4,1
19-01-16_YC011,98,192,1843,1,3,1,1,0.96,1,0,0,1,1.63,30.32,21.544173431396487,0,1,2,"(120, 180)",83,3,1,1,0.96,1,1.0,1,0,0,1.54,30.79,2,1
19-01-16_YC011,98,192,1843,1,3,1,1,0.96,1,0,0,1,1.63,30.32,21.544173431396487,0,1,3,"(180, 240)",93,3,1,1,0.94,1,1.0,1,0,0,1.62,31.32,5,1
19-01-16_YC011,98,192,1843,1,3,1,1,0.96,1,0,0,1,1.63,30.32,21.544173431396487,0,1,4,"(240, 300)",99,2,1,1,0.95,1,1.0,1,0,0,1.7,30.53,6,1
19-01-16_YC011,98,192,1843,1,3,1,1,0.96,1,0,0,1,1.63,30.32,21.544173431396487,0,1,5,"(300, 360)",93,1,1,1,0.98,1,0.99,1,0,0,1.64,30.64,25,1
19-01-16_YC011,98,192,1843,1,3,1,1,0.96,1,0,0,1,1.63,30.32,21.544173431396487,0,1,6,"(360, 420)",88,2,1,1,0.94,1,1.0,1,0,0,1.55,30.49,23,1
19-01-16_YC011,98,192,1843,1,3,1,1,0.96,1,0,0,1,1.63,30.32,21.544173431396487,0,1,7,"(420, 480)",95,2,1,1,0.96,1,1.0,1,0,0,1.67,30.53,4,1
19-01-16_YC011,98,192,1843,1,3,1,1,0.96,1,0,0,1,1.63,30.32,21.544173431396487,0,1,8,"(480, 540)",90,3,1,1,0.97,1,1.0,1,0,0,1.62,30.51,5,1
19-01-16_YC011,98,192,1843,1,3,1,1,0.96,1,0,0,1,1.63,30.32,21.544173431396487,0,1,9,"(540, 600)",95,1,1,1,0.97,1,1.0,1,0,0,1.66,30.91,2,1
19-01-16_YC011,98,192,1843,1,3,1,1,0.96,1,0,0,1,1.63,30.32,21.544173431396487,0,1,10,"(600, 660)",88,3,1,1,0.97,1,1.0,1,0,0,1.63,30.16,4,1
19-01-16_YC011,98,192,1843,1,3,1,1,0.96,1,0,0,1,1.63,30.32,21.544173431396487,0,1,11,"(660, 720)",86,3,1,1,0.96,1,1.0,1,0,0,1.57,30.58,6,1
19-01-16_YC011,98,192,1843,1,3,1,1,0.96,1,0,0,1,1.63,30.32,21.544173431396487,0,1,12,"(720, 780)",92,3,1,1,0.96,1,1.0,1,0,0,1.66,30.2,4,1
19-01-16_YC011,98,192,1843,1,3,1,1,0.96,1,0,0,1,1.63,30.32,21.544173431396487,0,1,13,"(780, 840)",86,3,1,1,0.97,1,1.0,1,0,0,1.55,30.03,4,1
19-01-16_YC011,98,192,1843,1,3,1,1,0.96,1,0,0,1,1.63,30.32,21.544173431396487,0,1,14,"(840, 900)",85,4,0,1,0.97,1,1.0,1,0,0,1.52,30.37,2,1
19-01-16_YC011,98,192,1843,1,3,1,1,0.96,1,0,0,1,1.63,30.32,21.544173431396487,0,1,15,"(900, 960)",89,3,1,1,0.97,1,1.0,1,0,0,1.55,29.71,9,1
19-01-16_YC011,98,192,1843,1,3,1,1,0.96,1,0,0,1,1.63,30.32,21.544173431396487,0,1,16,"(960, 1020)",106,3,1,1,0.97,1,1.0,1,0,0,1.87,30.09,10,1
19-01-16_YC011,98,192,1843,1,3,1,1,0.96,1,0,0,1,1.63,30.32,21.544173431396487,0,1,17,"(1020, 1080)",91,1,1,1,0.96,1,1.0,1,0,0,1.62,29.92,14,1
19-01-16_YC011,98,192,1843,1,3,1,1,0.96,1,0,0,1,1.63,30.32,21.544173431396487,0,1,18,"(1080, 1140)",101,3,1,1,0.95,1,1.0,1,0,0,1.76,29.69,2,1
19-01-16_YC011,98,192,1843,1,3,1,1,0.96,1,0,0,1,1.63,30.32,21.544173431396487,0,1,19,"(1140, 1200)",87,2,1,1,0.95,1,1.0,1,0,0,1.55,29.93,1,1
