Sample,Unit,Unit_Peak_Ch,Unit_Spikes,Unit_Peaks_Wvf,Unit_vs_Temp_CS,Unit_vs_Temp_CS_t,Unit_RPV,Unit_Fp,Unit_MFR,Unit_MA,Unit_Peak_Detection_t,Unit_Drift_TR,Unit_Drif_TR_t,Chunk,Chunk_Len,Chunk_Spikes,Chunk_Peaks_Wvf,Chunk_vs_Temp_CS,Chunk_vs_Temp_CS_t,Chunk_vs_Unit_CS,Chunk_vs_Unit_CS_t,Chunk_RPV,Chunk_Fp,Chunk_MFR,Chunk_MA,Chunk_Drift_TR,Chunk_Drift_TR_t
19-01-16_YC011,36,115,9405,2,0.99,1,0,0,9.06,13.83,12.17394229888916,18,1,0,"(0, 60)",282,2,0.99,1,1.0,1,0,0,5.7,13.82,20,1
19-01-16_YC011,36,115,9405,2,0.99,1,0,0,9.06,13.83,12.17394229888916,18,1,1,"(60, 120)",365,2,0.99,1,1.0,1,0,0,8.43,14.01,14,1
19-01-16_YC011,36,115,9405,2,0.99,1,0,0,9.06,13.83,12.17394229888916,18,1,2,"(120, 180)",473,2,0.99,1,1.0,1,0,0,10.34,13.92,23,1
19-01-16_YC011,36,115,9405,2,0.99,1,0,0,9.06,13.83,12.17394229888916,18,1,3,"(180, 240)",556,2,0.99,1,1.0,1,0,0,10.06,14.11,15,1
19-01-16_YC011,36,115,9405,2,0.99,1,0,0,9.06,13.83,12.17394229888916,18,1,4,"(240, 300)",528,2,0.99,1,1.0,1,0,0,10.59,14.04,9,1
19-01-16_YC011,36,115,9405,2,0.99,1,0,0,9.06,13.83,12.17394229888916,18,1,5,"(300, 360)",556,2,0.99,1,1.0,1,0,0,10.53,14.05,19,1
19-01-16_YC011,36,115,9405,2,0.99,1,0,0,9.06,13.83,12.17394229888916,18,1,6,"(360, 420)",483,2,0.99,1,1.0,1,0,0,9.24,13.93,17,1
19-01-16_YC011,36,115,9405,2,0.99,1,0,0,9.06,13.83,12.17394229888916,18,1,7,"(420, 480)",490,2,0.99,1,1.0,1,0,0,9.6,13.86,14,1
19-01-16_YC011,36,115,9405,2,0.99,1,0,0,9.06,13.83,12.17394229888916,18,1,8,"(480, 540)",463,3,0.99,1,1.0,1,0,0,8.97,13.85,27,1
19-01-16_YC011,36,115,9405,2,0.99,1,0,0,9.06,13.83,12.17394229888916,18,1,9,"(540, 600)",531,2,0.99,1,1.0,1,0,0,9.74,13.77,20,1
19-01-16_YC011,36,115,9405,2,0.99,1,0,0,9.06,13.83,12.17394229888916,18,1,10,"(600, 660)",469,3,0.99,1,1.0,1,0,0,8.99,13.65,22,1
19-01-16_YC011,36,115,9405,2,0.99,1,0,0,9.06,13.83,12.17394229888916,18,1,11,"(660, 720)",513,2,0.99,1,1.0,1,0,0,9.57,13.67,29,1
19-01-16_YC011,36,115,9405,2,0.99,1,0,0,9.06,13.83,12.17394229888916,18,1,12,"(720, 780)",467,2,0.99,1,1.0,1,0,0,8.85,13.67,41,1
19-01-16_YC011,36,115,9405,2,0.99,1,0,0,9.06,13.83,12.17394229888916,18,1,13,"(780, 840)",464,3,0.99,1,1.0,1,0,0,8.68,13.73,22,1
19-01-16_YC011,36,115,9405,2,0.99,1,0,0,9.06,13.83,12.17394229888916,18,1,14,"(840, 900)",480,3,0.99,1,1.0,1,0,0,8.81,13.46,22,1
19-01-16_YC011,36,115,9405,2,0.99,1,0,0,9.06,13.83,12.17394229888916,18,1,15,"(900, 960)",455,2,0.99,1,1.0,1,0,0,8.32,13.55,23,1
19-01-16_YC011,36,115,9405,2,0.99,1,0,0,9.06,13.83,12.17394229888916,18,1,16,"(960, 1020)",370,2,0.99,1,1.0,1,0,0,7.43,13.53,19,1
19-01-16_YC011,36,115,9405,2,0.99,1,0,0,9.06,13.83,12.17394229888916,18,1,17,"(1020, 1080)",513,2,1.0,1,1.0,1,0,0,9.58,13.67,22,1
19-01-16_YC011,36,115,9405,2,0.99,1,0,0,9.06,13.83,12.17394229888916,18,1,18,"(1080, 1140)",502,2,0.99,1,1.0,1,0,0,9.3,13.53,28,1
19-01-16_YC011,36,115,9405,2,0.99,1,0,0,9.06,13.83,12.17394229888916,18,1,19,"(1140, 1200)",445,2,0.99,1,1.0,1,0,0,8.07,13.5,44,1
