"MFRBlockHz","tf_MedIsi","tf_Entropy","tf_CV2Mean","tf_LvR","Sample","Unit","Cluster"
1.41,0.63,7.29,0.769,2.254,"18-09-03_YC005_probe1","77",2
1.03,0.784,5.585,0.921,4.294,"18-09-03_YC005_probe1","78",2
1.38,0.667,7.348,0.697,1.927,"18-09-03_YC005_probe1","79",2
1.43,0.586,7.205,0.856,3.589,"18-09-03_YC005_probe1","80",2
1.52,0.569,7.272,0.799,2.522,"18-09-03_YC005_probe1","81",2
1.16,0.811,7.252,0.75,1.944,"18-09-03_YC005_probe1","84",2
1.08,0.806,7.224,0.822,2.251,"18-09-03_YC005_probe1","93",2
1.57,0.543,7.17,0.766,2.415,"18-09-03_YC005_probe1","96",2
0.79,0.767,5.204,1.007,3.742,"18-09-03_YC006_probe1","258",2
0.74,1.178,7.031,0.858,1.998,"18-12-13_YC008_probe1","25",2
0.97,0.796,5.999,0.824,2.445,"18-12-13_YC008_probe1","366",2
1.06,0.837,7.261,0.686,1.394,"18-12-13_YC008_probe1","445",2
0.23,2.922,4.591,0.835,1.06,"18-12-13_YC008_probe1","447",2
0.72,1.295,7.192,0.882,1.84,"18-12-13_YC008_probe1","5",2
0.54,1.729,7.133,0.9,1.671,"18-12-13_YC008_probe1","7",2
0.25,2.635,4.364,0.936,1.775,"18-12-17_YC009_probe1","102",2
1.35,0.62,7.163,0.809,2.563,"18-12-17_YC009_probe1","131",2
0.54,1.067,4.757,0.968,3.299,"18-12-17_YC009_probe1","354",2
1.2,0.753,7.182,0.772,2.159,"18-12-17_YC009_probe1","45",2
1.26,0.655,7.009,0.81,2.346,"18-12-17_YC009_probe1","48",2
1.44,0.599,7.229,0.778,2.353,"18-12-17_YC009_probe1","61",2
1.39,0.617,7.234,0.793,2.384,"18-12-17_YC009_probe1","85",2
1.43,0.616,7.268,0.789,2.473,"18-12-17_YC009_probe1","86",2
1.6,0.555,7.237,0.768,2.482,"19-01-16_YC011_probe1","69",2
1.5,0.582,7.242,0.769,2.413,"19-01-16_YC011_probe1","81",2
1.95,0.449,7.291,0.787,2.993,"19-01-16_YC011_probe1","83",2
1.23,0.697,7.205,0.764,2.158,"19-01-16_YC011_probe1","93",2
1.6,0.572,7.265,0.707,2.36,"19-01-24_YC013_probe1","1324",2
1.11,0.721,6.802,0.684,1.634,"19-01-24_YC013_probe1","14",2
1.34,0.675,7.275,0.704,1.841,"19-01-24_YC013_probe1","6",2
2.24,0.413,7.332,0.626,2.284,"19-01-24_YC013_probe1","654",2
1.65,0.532,7.071,0.827,4.903,"19-01-24_YC013_probe1","684",2
2.16,0.42,7.329,0.656,2.606,"19-01-24_YC013_probe1","797",2
1.78,0.507,7.3,0.698,2.668,"19-01-24_YC013_probe1","814",2
1.28,0.674,7.184,0.851,2.639,"19-08-14_YC015_probe1","425",2
0.85,0.964,7.072,0.868,2.108,"19-08-14_YC015_probe1","427",2
0.98,0.895,7.191,0.776,1.839,"19-08-14_YC015_probe1","536",2
1.32,0.623,7.106,0.904,3.19,"19-08-14_YC015_probe2","865",2
0.98,0.826,6.969,0.822,2.086,"19-08-14_YC015_probe2","887",2
0.91,0.839,6.971,0.94,2.819,"19-08-14_YC015_probe2","905",2
1.88,0.477,7.275,0.738,2.523,"19-08-14_YC016_probe1","104",2
