"MFRBlockHz","tf_MedIsi","tf_Entropy","tf_CV2Mean","tf_LvR","Cluster","Sample","Unit","Sample.1","Unit.1","RespPk","RespGo","RespGr","RespMF"
55.53,0.013,6.405,0.761,60.971,2,"18-08-31_YC003",102,"18-08-31_YC003",102,0,0,0,0
3.91,0.117,6.072,0.989,15.58,3,"18-08-31_YC003",132,"18-08-31_YC003",132,0,0,0,0
11.85,0.022,3.429,0.644,14.609,1,"18-08-31_YC003",152,"18-08-31_YC003",152,0,0,0,0
8.2,0.078,6.351,0.769,11.322,3,"18-08-31_YC003",160,"18-08-31_YC003",160,0,0,0,0
2.96,0.224,6.78,0.938,7.497,3,"18-08-31_YC003",162,"18-08-31_YC003",162,0,0,0,0
11.62,0.065,6.937,0.759,14.061,3,"18-08-31_YC003",169,"18-08-31_YC003",169,0,0,0,0
23.47,0.034,5.255,0.923,26.012,2,"18-08-31_YC003",170,"18-08-31_YC003",170,0,0,0,0
2.07,0.104,6.241,0.857,10.877,3,"18-08-31_YC003",173,"18-08-31_YC003",173,0,0,0,0
15.79,0.037,6.554,0.981,40.142,2,"18-08-31_YC003",181,"18-08-31_YC003",181,0,0,0,0
77.85,0.008,5.419,0.394,22.482,1,"18-08-31_YC003",184,"18-08-31_YC003",184,0,0,0,0
62.17,0.01,4.68,0.412,19.931,1,"18-08-31_YC003",186,"18-08-31_YC003",186,0,0,0,0
14.93,0.039,6.495,0.926,33.433,3,"18-08-31_YC003",189,"18-08-31_YC003",189,0,0,0,0
9.5,0.074,6.7,0.87,26.206,3,"18-08-31_YC003",190,"18-08-31_YC003",190,0,0,0,0
73.25,0.008,5.337,0.533,35.364,1,"18-08-31_YC003",194,"18-08-31_YC003",194,0,0,0,0
28.66,0.024,6.696,0.744,33.235,3,"18-08-31_YC003",196,"18-08-31_YC003",196,0,0,0,0
7.92,0.093,6.73,0.725,9.259,3,"18-08-31_YC003",208,"18-08-31_YC003",208,0,0,0,0
5.48,0.119,6.376,0.761,8.42,3,"18-08-31_YC003",209,"18-08-31_YC003",209,0,0,0,0
27.74,0.027,6.573,0.716,31.866,3,"18-08-31_YC003",218,"18-08-31_YC003",218,0,0,0,0
11.9,0.055,6.282,0.681,12.718,3,"18-08-31_YC003",222,"18-08-31_YC003",222,0,0,0,0
9.78,0.076,6.719,0.83,16.364,3,"18-08-31_YC003",223,"18-08-31_YC003",223,0,0,0,0
9.68,0.078,6.669,0.71,11.006,3,"18-08-31_YC003",229,"18-08-31_YC003",229,0,0,0,0
5.81,0.072,5.761,1.018,24.034,3,"18-08-31_YC003",230,"18-08-31_YC003",230,0,0,0,0
29.54,0.025,5.241,0.85,31.314,2,"18-08-31_YC003",239,"18-08-31_YC003",239,0,0,0,0
35.03,0.013,4.666,0.709,36.991,2,"18-08-31_YC003",295,"18-08-31_YC003",295,0,0,0,0
68.49,0.01,5.886,0.607,41.436,1,"18-08-31_YC003",298,"18-08-31_YC003",298,0,0,0,0
18.69,0.02,4.383,0.663,22.486,1,"18-08-31_YC003",300,"18-08-31_YC003",300,0,0,0,0
21.99,0.032,6.487,0.793,32.097,3,"18-08-31_YC003",332,"18-08-31_YC003",332,0,0,0,0
15.75,0.04,6.588,0.889,29.062,3,"18-08-31_YC003",377,"18-08-31_YC003",377,0,0,0,0
12.52,0.063,6.995,0.712,13.35,3,"18-08-31_YC003",393,"18-08-31_YC003",393,0,0,0,0
22.7,0.032,7.074,0.942,85.525,2,"18-08-31_YC003",54,"18-08-31_YC003",54,0,0,0,0
33.01,0.025,6.956,0.643,29.512,3,"18-08-31_YC003",57,"18-08-31_YC003",57,0,0,0,0
10.42,0.042,5.192,0.785,18.967,3,"18-08-31_YC003",58,"18-08-31_YC003",58,0,0,0,0
14.3,0.047,6.742,0.876,26.951,3,"18-08-31_YC003",641,"18-08-31_YC003",641,0,0,0,0
22.28,0.023,5.919,0.844,42.077,2,"18-08-31_YC003",81,"18-08-31_YC003",81,0,0,0,0
37.11,0.014,5.21,0.822,94.357,2,"18-08-31_YC003",92,"18-08-31_YC003",92,0,0,0,0
10.04,0.077,6.784,0.595,7.512,3,"18-08-31_YC004",107,"18-08-31_YC004",107,0,0,0,0
1.72,0.505,6.484,1.315,12.038,3,"18-08-31_YC004",164,"18-08-31_YC004",164,0,0,0,0
5.47,0.128,6.609,0.705,6.795,3,"18-08-31_YC004",22,"18-08-31_YC004",22,0,0,0,0
28.16,0.018,3.972,0.466,13.29,1,"18-08-31_YC004",26,"18-08-31_YC004",26,0,0,0,0
2.17,0.233,5.889,0.837,4.542,3,"18-08-31_YC004",65,"18-08-31_YC004",65,0,0,0,0
8.39,0.087,6.658,0.66,7.277,3,"18-08-31_YC004",69,"18-08-31_YC004",69,0,0,0,0
5.82,0.134,6.817,0.63,5.064,3,"18-08-31_YC004",73,"18-08-31_YC004",73,0,0,0,0
16.21,0.022,5.08,1.013,79.179,2,"18-08-31_YC004",74,"18-08-31_YC004",74,0,0,0,0
2.81,0.192,6.159,1.141,14.419,3,"18-09-03_YC005",0,"18-09-03_YC005",0,0,0,0,0
9.74,0.074,6.43,0.852,13.645,3,"18-09-03_YC005",107,"18-09-03_YC005",107,0,0,0,0
