"MFRBlockHz","tf_MedIsi","tf_Entropy","tf_CV2Mean","tf_LvR","Sample","Unit","RespPk","RespGo","RespGr","RespMF","RespMLI","wf_RiseTime","wf_PosDecayTime","wf_FallTime","wf_NegDecayTime","wf_MaxAmpNorm","wf_Duration","wf_PosHwDuration","wf_NegHwDuration","wf_Onset","wf_End","wf_Crossing","wf_Pk10","wf_Pk90","wf_Pk50","wf_PkTrRatio","wf_DepolarizationSlope","wf_RepolarizationSlope","wf_RecoverySlope","Cluster"
2.62,0.135,5.924,1.213,23.25,"18-08-30_YC001",396,0,0,0,0,0,0.086059042,0.158476321,0.098591932,0.115282352,0.3992286,0.3,0.402321256,0.16,-0.052269682,0.08897757,0.020935404,0.03992286,0.359305742,0.199614301,0.399,-5.036644612,5.552507217,-0.720693552,1
48.43,0.009,4.303,0.685,77.102,"18-08-30_YC001",398,0,0,0,0,0,0.051223881,0.071886011,0.065034537,0.075466429,0.5996762,0.16,0.147489012,0.12,-0.000260175,0.02990822,-0.007154796,0.059967619,0.539708573,0.299838096,0.6,-17.17797373,12.08977252,-2.219788615,2
12.06,0.068,6.948,0.61,8.421,"18-08-30_YC001",46,0,0,0,0,0,0.104678996,0.266106,0.144677797,0.192157989,0.3846808,0.5,0.467310207,0.2,-0.06120862,0.028574135,0.040843092,0.038468081,0.346212727,0.192340404,0.385,-6.218605992,4.842782688,-0.872175032,1
7.33,0.055,5.999,1.076,27.626,"18-08-30_YC001",48,0,0,0,0,0,0.051885008,0.094392162,0.072542684,0.091620739,0.5731086,0.2,0.250247249,0.13,-0.028391065,0.041633967,-0.014992451,0.057310861,0.515797752,0.286554307,0.573,-7.525660223,10.08592296,-1.66746623,2
10.27,0.065,6.867,0.838,17.094,"18-08-30_YC001",70,0,0,0,0,0,0.132754322,0.187440948,0.18432196,0.210975914,0.45285395,0.43,0.341556421,0.17,-0.044066828,0.05566897,-0.010794694,0.045285395,0.407568553,0.226426974,0.453,-7.23119328,3.76929001,-1.139730342,1
11.47,0.065,7.006,0.778,13.986,"18-08-30_YC001",76,0,0,0,0,0,0.1050532,0.144322661,0.226022793,0.286411466,0.5889927,0.46,0.336757801,0.3,-0.06388554,0.07762155,0.008741103,0.058899271,0.530093443,0.294496357,0.589,-7.204772892,3.874842375,-1.339163035,1
16.92,0.044,6.767,0.728,19.012,"18-08-30_YC001",78,0,0,0,0,0,0.138135707,0.198739764,0.120752331,0.15500764,0.4633723,0.4,0.40648849,0.24,-0.034858968,0.09142849,0.032971596,0.046337229,0.417035061,0.231686145,0.463,-4.244872645,4.219566065,-0.90052279,1
15.15,0.046,6.763,0.702,15.846,"18-08-30_YC001",99,0,0,0,0,0,0.141620264,0.198368598,0.22734035,0.267756157,0.4830864,0.5,0.361570892,0.2,-0.060851503,0.05532877,-0.024147777,0.048308641,0.434777766,0.241543204,0.483,-7.132126763,3.365688212,-1.07094826,1
2.21,0.152,5.2,1.1,17.934,"18-08-30_YC002",10,0,0,0,0,0,0.044472427,0.061604565,0.049494295,0.056199779,0.5485025,0.13,0.06636435,0.13,0.002299332,-0.07314786,-0.011379114,0.05485025,0.493652254,0.274251252,0.549,-9.852657853,14.09892663,-2.023539018,1
4.51,0.12,6.048,0.79,26.107,"18-08-30_YC002",103,0,0,0,0,0,0.035,0.028016119,0.035,0.035,0.35594425,0.07,0.03,0.07,0.005123786,0.004185794,0,0.035594425,0.320349821,0.177972123,0.356,-12.70498087,9.70418355,-0.679943653,1
