MFRBlockHz,tf_MedIsi,tf_Entropy,tf_CV2Mean,tf_LvR,Sample,Unit,Cluster
72.98,0.012,6.677,0.471,27.203,18-08-30_YC001_probe1,166,Pk
197.42,0.004,4.321,0.26,32.027,18-08-30_YC001_probe1,177,Pk
159.05,0.006,6.06,0.221,14.909,18-08-30_YC001_probe1,263,Pk
168.96,0.005,6.164,0.202,13.339,18-08-30_YC001_probe1,266,Pk
25.04,0.037,7.071,0.414,8.388,18-08-30_YC001_probe1,272,Pk
51.53,0.018,7.263,0.48,21.558,18-08-30_YC001_probe1,281,Pk
70.34,0.011,6.551,0.61,43.708,18-08-30_YC001_probe1,296,Pk
64.02,0.014,7.041,0.384,16.877,18-08-30_YC001_probe1,298,Pk
69.85,0.014,7.308,0.251,8.315,18-08-30_YC001_probe1,303,Pk
109.22,0.008,6.712,0.321,19.848,18-08-30_YC001_probe1,304,Pk
49.26,0.019,7.085,0.309,8.796,18-08-30_YC001_probe1,315,Pk
184.93,0.005,6.385,0.282,27.193,18-08-30_YC001_probe1,357,Pk
139.05,0.006,6.557,0.333,26.856,18-08-30_YC001_probe1,358,Pk
177.94,0.005,5.831,0.259,25.794,18-08-30_YC001_probe1,359,Pk
61.61,0.015,7.205,0.335,12.743,18-08-30_YC001_probe1,362,Pk
101.95,0.008,6.857,0.419,30.414,18-08-30_YC001_probe1,376,Pk
34.64,0.023,6.613,0.63,29.141,18-08-30_YC001_probe1,377,Pk
137.18,0.006,6.659,0.325,25.737,18-08-30_YC001_probe1,54,Pk
167.26,0.005,5.502,0.235,21.519,18-08-30_YC001_probe1,565,Pk
35.17,0.025,6.992,0.483,17.051,18-08-30_YC001_probe1,83,Pk
84.76,0.01,6.937,0.482,32.95,18-08-30_YC002_probe1,111,Pk
27.03,0.035,7.045,0.41,10.829,18-08-30_YC002_probe1,142,Pk
69.28,0.016,6.11,0.601,28.099,18-08-30_YC002_probe1,205,Pk
72.89,0.011,6.768,0.485,29.097,18-08-30_YC002_probe1,210,Pk
22.14,0.036,6.742,0.386,6.766,18-08-30_YC002_probe1,31,Pk
74.39,0.01,6.062,0.456,26.437,18-08-30_YC002_probe1,327,Pk
55.53,0.013,6.405,0.761,60.971,18-08-31_YC003_probe1,102,Pk
87.02,0.008,6.379,0.453,30.123,18-08-31_YC003_probe1,201,Pk
87.62,0.009,5.916,0.374,21.559,18-08-31_YC003_probe1,231,Pk
70.98,0.012,6.126,0.375,17.329,18-08-31_YC003_probe1,257,Pk
126.49,0.006,5.866,0.367,28.923,18-08-31_YC003_probe1,292,Pk
78.13,0.012,6.826,0.393,21.988,18-08-31_YC003_probe1,311,Pk
52.91,0.015,6.421,0.514,24.129,18-08-31_YC003_probe1,485,Pk
33.01,0.025,6.956,0.643,29.512,18-08-31_YC003_probe1,57,Pk
148.15,0.006,6.731,0.243,15.956,18-08-31_YC004_probe1,128,Pk
116.53,0.009,6.343,0.584,45.279,18-08-31_YC004_probe1,130,Pk
71.81,0.012,6.696,0.388,19.121,18-08-31_YC004_probe1,200,Pk
39.19,0.022,7.066,0.517,19.084,18-08-31_YC004_probe1,60,Pk
63.57,0.015,6.961,0.31,11.266,18-08-31_YC004_probe1,83,Pk
160.95,0.005,6.442,0.272,22.191,18-09-03_YC005_probe1,177,Pk
123.89,0.007,6.498,0.39,33.431,18-09-03_YC005_probe1,52,Pk
18.83,0.049,7.158,0.345,4.192,18-12-13_YC008_probe1,11,Pk
26.59,0.033,7.01,0.447,9.402,18-12-13_YC008_probe1,12,Pk
55.63,0.017,7.16,0.346,12.409,18-12-13_YC008_probe1,15,Pk
35.31,0.024,6.817,0.579,20.614,18-12-13_YC008_probe1,212,Pk
26.09,0.039,6.683,0.297,3.892,18-12-13_YC008_probe1,24,Pk
61.37,0.012,6.523,0.509,26.848,18-12-13_YC008_probe1,268,Pk
96.33,0.009,7.038,0.355,20.635,18-12-13_YC008_probe1,303,Pk
46.69,0.019,6.945,0.493,20.033,18-12-13_YC008_probe1,313,Pk
79.94,0.01,6.751,0.501,32.985,18-12-13_YC008_probe1,317,Pk
48.53,0.02,7.286,0.346,10.91,18-12-13_YC008_probe1,320,Pk
147.97,0.005,5.138,0.297,26.747,18-12-13_YC008_probe1,338,Pk
102.15,0.008,6.718,0.382,25.369,18-12-13_YC008_probe1,346,Pk
46.75,0.017,6.748,0.617,29.992,18-12-13_YC008_probe1,371,Pk
58.08,0.015,6.72,0.392,16.238,18-12-13_YC008_probe1,375,Pk
31.34,0.027,6.938,0.569,18.68,18-12-13_YC008_probe1,386,Pk
15.08,0.064,6.966,0.389,6.021,18-12-17_YC009_probe1,125,Pk
11.41,0.076,6.672,0.412,3.7,18-12-17_YC009_probe1,15,Pk
79.39,0.01,6.356,0.463,29.871,18-12-17_YC009_probe1,297,Pk
73.47,0.012,6.784,0.421,23.374,18-12-17_YC009_probe1,298,Pk
47.97,0.018,6.862,0.464,18.087,18-12-17_YC009_probe1,301,Pk
214.71,0.004,6.275,0.213,20.72,18-12-17_YC009_probe1,420,Pk
137.16,0.006,5.993,0.371,34.151,18-12-17_YC009_probe1,437,Pk
113.17,0.007,5.841,0.405,32.429,18-12-17_YC009_probe1,439,Pk
86.12,0.011,7.048,0.359,20.437,18-12-17_YC009_probe1,441,Pk
105.15,0.008,6.575,0.307,17.852,18-12-17_YC009_probe1,453,Pk
110.58,0.007,5.598,0.328,22.435,18-12-17_YC009_probe1,455,Pk
112.7,0.007,6.385,0.317,19.898,18-12-17_YC009_probe1,473,Pk
73.16,0.012,6.96,0.445,26.508,18-12-17_YC009_probe1,519,Pk
62.72,0.014,6.772,0.487,25.707,18-12-17_YC009_probe1,524,Pk
78.13,0.009,6.406,0.478,31.543,18-12-17_YC009_probe1,564,Pk
103.5,0.009,6.98,0.354,22.538,18-12-17_YC009_probe1,569,Pk
48.08,0.016,6.471,0.585,29.108,18-12-17_YC009_probe1,619,Pk
75.38,0.011,6.766,0.416,22.811,18-12-17_YC009_probe1,625,Pk
154.77,0.005,5.425,0.301,26.054,18-12-17_YC009_probe1,633,Pk
170.54,0.005,5.454,0.234,19.169,18-12-17_YC009_probe1,635,Pk
9.34,0.096,6.99,0.429,3.297,18-12-17_YC010_probe1,104,Pk
100.62,0.008,6.75,0.512,49.37,18-12-17_YC010_probe1,117,Pk
75.24,0.011,6.986,0.517,37.563,18-12-17_YC010_probe1,121,Pk
107.42,0.008,6.99,0.45,39.823,18-12-17_YC010_probe1,133,Pk
47.36,0.024,6.692,0.673,26.865,18-12-17_YC010_probe1,140,Pk
97.28,0.009,6.961,0.497,44.589,18-12-17_YC010_probe1,144,Pk
63.99,0.012,6.483,0.631,48.101,18-12-17_YC010_probe1,151,Pk
51.6,0.015,6.657,0.542,25.668,18-12-17_YC010_probe1,152,Pk
132.8,0.006,5.681,0.367,30.35,18-12-17_YC010_probe1,153,Pk
150.97,0.006,6.819,0.216,13.521,18-12-17_YC010_probe1,198,Pk
76.74,0.01,6.634,0.438,24.949,18-12-17_YC010_probe1,276,Pk
50.57,0.017,7.069,0.743,57.142,18-12-17_YC010_probe1,277,Pk
65.65,0.013,6.521,0.392,19.349,18-12-17_YC010_probe1,319,Pk
100.87,0.007,6.483,0.49,40.201,18-12-17_YC010_probe1,394,Pk
100.49,0.009,6.815,0.269,13.255,18-12-17_YC010_probe1,426,Pk
65.53,0.013,6.658,0.49,24.924,18-12-18_YC010_probe1,102,Pk
82.74,0.011,7.037,0.475,31.893,18-12-18_YC010_probe1,158,Pk
6.14,0.158,7.271,0.189,0.449,18-12-18_YC010_probe1,167,Pk
23.57,0.038,7.115,0.39,6.172,18-12-18_YC010_probe1,169,Pk
103.4,0.009,7.214,0.325,20.044,18-12-18_YC010_probe1,241,Pk
92.87,0.01,7.286,0.172,5.628,18-12-18_YC010_probe1,243,Pk
70.1,0.013,7.189,0.333,15.809,18-12-18_YC010_probe1,244,Pk
110.11,0.008,6.498,0.226,10.925,18-12-18_YC010_probe1,245,Pk
43.33,0.021,6.915,0.322,8.478,18-12-18_YC010_probe1,253,Pk
34.75,0.025,6.821,0.577,24.453,18-12-18_YC010_probe1,257,Pk
73.38,0.013,7.179,0.437,26.947,18-12-18_YC010_probe1,330,Pk
121,0.008,6.764,0.232,11.907,18-12-18_YC010_probe1,356,Pk
96.66,0.009,5.978,0.311,16.733,18-12-18_YC010_probe1,364,Pk
33.5,0.026,6.902,0.408,10.496,18-12-18_YC010_probe1,49,Pk
83.44,0.011,7.244,0.27,11.47,18-12-18_YC010_probe1,69,Pk
72.83,0.013,7.024,0.281,10.71,18-12-18_YC010_probe1,74,Pk
13.3,0.076,6.714,0.379,3.206,18-12-18_YC010_probe1,78,Pk
83.83,0.011,7.18,0.329,16.195,18-12-18_YC010_probe1,94,Pk
50.43,0.015,6.94,0.744,54.897,19-01-16_YC011_probe1,121,Pk
42.3,0.019,6.712,0.62,27.131,19-01-16_YC011_probe1,160,Pk
125.77,0.007,6.403,0.332,25.007,19-01-16_YC011_probe1,192,Pk
58.13,0.014,6.807,0.538,31.56,19-01-16_YC011_probe1,20,Pk
160.75,0.006,6.883,0.197,12.171,19-01-16_YC011_probe1,234,Pk
79,0.011,6.946,0.609,51.011,19-01-16_YC011_probe1,26,Pk
116.12,0.008,7.157,0.393,33.223,19-01-16_YC011_probe1,27,Pk
40.99,0.019,6.693,0.644,30.948,19-01-16_YC011_probe1,31,Pk
70.21,0.013,6.993,0.413,21.192,19-01-16_YC011_probe1,33,Pk
44.51,0.018,6.724,0.462,15.276,19-01-16_YC011_probe1,35,Pk
55.78,0.015,6.899,0.544,28.385,19-01-16_YC011_probe1,43,Pk
38.45,0.021,6.99,0.641,30.641,19-01-16_YC011_probe1,73,Pk
48.74,0.018,7.158,0.539,26.65,19-01-16_YC011_probe1,95,Pk
63.42,0.013,7.071,0.674,56.995,19-01-23_YC013_probe1,17,Pk
26.33,0.034,6.979,0.401,7.969,19-01-23_YC013_probe1,214,Pk
16,0.057,7.077,0.342,3.509,19-01-23_YC013_probe1,270,Pk
44,0.019,6.915,0.54,22.523,19-01-23_YC013_probe1,30,Pk
61.62,0.014,6.975,0.469,24.2,19-01-23_YC013_probe1,60,Pk
31.53,0.03,7.05,0.271,4.329,19-01-24_YC013_probe1,17,Pk
22.53,0.04,6.908,0.366,5.555,19-01-24_YC013_probe1,34,Pk
43.84,0.023,7.297,0.093,0.712,19-01-24_YC013_probe1,57,Pk
45.25,0.021,7.264,0.514,26.924,19-01-24_YC013_probe1,575,Pk
32,0.028,7.13,0.233,3.657,19-01-24_YC013_probe1,62,Pk
72.43,0.014,7.224,0.14,2.687,19-01-24_YC013_probe1,64,Pk
15.37,0.062,7.066,0.276,2.278,19-08-14_YC015_probe1,35,Pk
64.51,0.015,7.195,0.433,22.404,19-08-14_YC015_probe1,48,Pk
40.45,0.019,6.488,0.575,25.172,19-08-14_YC015_probe2,67,Pk
75.54,0.011,6.819,0.707,66.811,19-08-14_YC015_probe2,71,Pk
37.51,0.021,6.538,0.562,23.201,19-08-14_YC015_probe2,79,Pk
73.62,0.013,7.103,0.366,18.658,19-08-14_YC015_probe2,84,Pk
100.05,0.009,6.934,0.364,23.524,19-08-14_YC015_probe1,88,Pk
66.56,0.014,6.821,0.378,16.289,19-08-14_YC015_probe1,94,Pk
170.76,0.005,5.76,0.222,17.506,19-08-14_YC015_probe1,97,Pk
38.63,0.025,7.414,0.148,1.632,19-08-14_YC015_probe2,100,Pk
62.65,0.015,7.209,0.357,15.238,19-08-14_YC015_probe2,119,Pk
51.68,0.016,6.944,0.496,22.547,19-08-14_YC015_probe2,128,Pk
54.28,0.027,6.692,0.695,25.101,19-08-14_YC015_probe2,140,Pk
49.53,0.013,6.508,0.604,32.344,19-08-14_YC015_probe2,141,Pk
69.21,0.013,7.018,0.408,20.821,19-08-14_YC015_probe2,147,Pk
67.27,0.013,7.133,0.367,16.728,19-08-14_YC015_probe2,176,Pk
67.46,0.014,6.868,0.41,21.529,19-08-14_YC015_probe2,204,Pk
47.76,0.018,7.024,0.54,24.902,19-08-14_YC015_probe2,290,Pk
93.06,0.01,6.925,0.304,16.192,19-08-14_YC015_probe1,354,Pk
59.03,0.015,7.006,0.466,22.486,19-08-14_YC015_probe1,392,Pk
50.43,0.017,7.041,0.48,20.557,19-08-14_YC015_probe1,393,Pk
128.81,0.007,7.131,0.208,10.429,19-08-14_YC015_probe1,401,Pk
89.19,0.01,7.126,0.289,13.338,19-08-14_YC015_probe2,436,Pk
63.23,0.014,6.94,0.358,15.298,19-08-14_YC015_probe1,590,Pk
37.27,0.025,7.162,0.347,8.462,19-08-14_YC015_probe1,606,Pk
92.46,0.009,6.334,0.351,19.609,19-08-14_YC015_probe1,608,Pk
42.77,0.02,6.88,0.418,13.922,19-08-14_YC015_probe1,610,Pk
63.21,0.011,6.278,0.541,47.933,19-08-14_YC015_probe2,631,Pk
35.37,0.025,7.135,0.463,13.877,19-08-14_YC015_probe2,794,Pk
66.19,0.013,6.997,0.418,20.695,19-08-14_YC015_probe1,857,Pk
54.26,0.017,7.117,0.345,12,19-08-14_YC015_probe1,881,Pk
45.34,0.019,6.945,0.441,15.132,19-08-14_YC015_probe1,929,Pk
65.97,0.014,6.981,0.362,16.175,19-08-14_YC015_probe1,967,Pk
143.82,0.006,6.323,0.235,17.226,19-08-14_YC015_probe1,1026,Pk
15.35,0.062,6.967,0.35,4.031,19-08-14_YC015_probe1,1030,Pk
85.25,0.01,6.856,0.503,35.926,19-08-14_YC015_probe1,1081,Pk
60.78,0.01,6.239,0.7,62.456,19-08-14_YC016_probe1,100,Pk
99.1,0.01,6.75,0.214,8.702,19-08-14_YC016_probe1,102,Pk
104.91,0.009,7.092,0.214,9.46,19-08-14_YC016_probe1,142,Pk
98.42,0.009,7.088,0.266,14.163,19-08-14_YC016_probe1,161,Pk
