"MFRBlockHz","tf_MedIsi","tf_Entropy","tf_CV2Mean","tf_LvR","Sample","Unit","RespPk","RespGo","RespMLI","RespMF","RespGr","PrevClust","NewCluster"
13.76,0.051,6.56,0.511,7.929,"18-08-30_YC002_probe1",22,0,0,0,0,0,"MLI",1
10.28,0.031,5.026,1.016,34.707,"18-08-30_YC002_probe1",255,0,0,0,0,0,"GoMF",3
27.72,0.031,6.977,0.532,14.185,"18-08-30_YC002_probe1",26,0,0,0,0,0,"MLI",1
4.78,0.151,6.796,0.772,6.325,"18-08-30_YC002_probe1",330,0,0,0,0,0,"MLI",1
30.79,0.026,7.003,0.768,49.832,"18-08-30_YC002_probe1",35,0,0,0,0,0,"MLI",1
12.05,0.066,7.043,0.614,10.603,"18-08-30_YC002_probe1",36,0,0,0,0,0,"MLI",1
77.28,0.008,5.101,0.402,22.992,"18-08-30_YC002_probe1",37,0,0,0,0,0,"Unknown",4
11.27,0.056,6.653,0.697,16.854,"18-08-30_YC002_probe1",72,0,0,0,0,0,"MLI",1
8.07,0.079,6.806,0.775,9.464,"18-08-30_YC002_probe1",86,1,0,0,0,0,"MLI",1
10.69,0.063,6.763,0.95,24.615,"18-08-30_YC002_probe1",94,0,0,0,0,0,"MLI",1
6.75,0.064,6.121,0.73,12.292,"18-08-30_YC002_probe1",95,0,0,0,0,0,"MLI",1
15.04,0.051,6.12,1.465,65.158,"18-08-31_YC003_probe1",0,0,0,0,0,0,"GoMF",3
17.63,0.049,7.041,0.572,15.594,"18-08-31_YC003_probe1",101,0,0,0,0,0,"MLI",1
3.91,0.117,6.072,0.989,15.58,"18-08-31_YC003_probe1",132,0,0,0,0,0,"MLI",1
11.85,0.022,3.429,0.644,14.609,"18-08-31_YC003_probe1",152,0,0,0,0,0,"GoMF",3
8.2,0.078,6.351,0.769,11.322,"18-08-31_YC003_probe1",160,0,0,0,0,0,"MLI",1
2.96,0.224,6.78,0.938,7.497,"18-08-31_YC003_probe1",162,0,0,0,0,0,"Gr",2
11.62,0.065,6.937,0.759,14.061,"18-08-31_YC003_probe1",169,0,0,0,0,0,"MLI",1
23.47,0.034,5.255,0.923,26.012,"18-08-31_YC003_probe1",170,0,0,0,0,0,"GoMF",3
2.07,0.104,6.241,0.857,10.877,"18-08-31_YC003_probe1",173,0,0,0,0,0,"MLI",1
17.6,0.048,6.556,0.577,13.036,"18-08-31_YC003_probe1",175,0,0,0,0,0,"MLI",1
15.79,0.037,6.554,0.981,40.142,"18-08-31_YC003_probe1",181,0,0,0,0,0,"MLI",1
77.85,0.008,5.419,0.394,22.482,"18-08-31_YC003_probe1",184,0,0,0,0,0,"Unknown",4
62.17,0.01,4.68,0.412,19.931,"18-08-31_YC003_probe1",186,0,0,0,0,0,"Unknown",4
14.93,0.039,6.495,0.926,33.433,"18-08-31_YC003_probe1",189,0,0,0,0,0,"MLI",1
9.5,0.074,6.7,0.87,26.206,"18-08-31_YC003_probe1",190,0,0,0,0,0,"MLI",1
73.25,0.008,5.337,0.533,35.364,"18-08-31_YC003_probe1",194,0,0,0,0,0,"Unknown",4
28.66,0.024,6.696,0.744,33.235,"18-08-31_YC003_probe1",196,0,0,0,0,0,"MLI",1
7.92,0.093,6.73,0.725,9.259,"18-08-31_YC003_probe1",208,0,0,0,0,0,"MLI",1
5.48,0.119,6.376,0.761,8.42,"18-08-31_YC003_probe1",209,0,0,0,0,0,"MLI",1
27.74,0.027,6.573,0.716,31.866,"18-08-31_YC003_probe1",218,0,0,0,0,0,"MLI",1
