MFRBlockHz,tf_MedIsi,tf_Entropy,tf_CV2Mean,tf_LvR,SampleP,Sample,Unit,RespPk,RespGo,RespGr,RespMF,RespMLI,wf_RiseTime,wf_PosDecayTime,wf_FallTime,wf_NegDecayTime,wf_MaxAmpNorm,wf_Duration,wf_PosHwDuration,wf_NegHwDuration,wf_Onset,wf_End,wf_Crossing,wf_Pk10,wf_Pk90,wf_Pk50,wf_PkTrRatio,wf_DepolarizationSlope,wf_RepolarizationSlope,wf_RecoverySlope,Cluster_x,Cluster_y,SmallCluster,SmallClusterName,MeanAmpBlock,ACGViolationRatio,tf_MIFRBlockHz,tf_ModeIsi,tf_Perc5Isi,tf_CV2Median,tf_CV,tf_Ir,tf_Lv,tf_Si,tf_skw,wf_EndSlopeTau
1.2,0.723,7.175,0.796,2.185,18-08-30_YC001,18-08-30_YC001_probe1,156,0,0,0,0,0,0.292875097,0.31488818,0.403246258,0.477291442,0.45240256,0.9,0.395336527,0.46,-0.027816463,-0.048345353,0.019168468,0.045240256,0.407162306,0.226201281,0.452,-3.086088756,1.687461137,-0.749884862,3,,2,Complex Spike,16.13,0,2.185,2,0.145,0.751,0.662,0.945,0.66,0.067,0.792,0.189337561
1.46,0.598,7.26,0.778,2.447,18-08-30_YC001,18-08-30_YC001_probe1,158,0,0,0,0,0,0.164004199,0.237916043,0.380219949,0.445332114,0.21199892,0.76,0.429528187,0.4,-0.028679483,0.023846433,-0.011959979,0.021199892,0.190799032,0.105999462,0.212,-3.947403539,1.793219058,-0.285069148,3,,2,Complex Spike,24.73,0,2.643,2,0.116,0.729,0.644,0.921,0.642,0.064,0.704,0.276619569
22.12,0.035,6.945,0.743,25.792,18-08-30_YC001,18-08-30_YC001_probe1,159,0,0,0,0,0,0.040581149,0.078876696,0.09679292,0.132730819,0.2672116,0.23,0.229415468,0.17,-0.010793642,0.052372634,-0.00674918,0.026721159,0.240490428,0.133605793,0.267,-7.849129252,6.837651542,-0.704889199,2,1,3,Potentially MLI,14.21,0.02,40.508,0,0.008,0.696,0.759,0.86,0.579,0.056,1.37,0.289358322
1.3,0.686,7.266,0.81,2.385,18-08-30_YC001,18-08-30_YC001_probe1,162,0,0,0,0,0,0.181648678,0.269631886,0.296439253,0.372289987,0.32762584,0.7,0.398404755,0.37,-0.017331962,-0.02995683,0.010868831,0.032762584,0.294863257,0.16381292,0.328,-2.822770664,2.187047388,-0.744331803,3,,2,Complex Spike,22.38,0,2.339,3,0.131,0.771,0.637,0.96,0.678,0.068,0.64,0.171850952
1.41,0.614,7.192,0.813,2.637,18-08-30_YC001,18-08-30_YC001_probe1,163,0,0,0,0,0,0.247950042,0.382082419,0.316621171,0.375198865,0.30710143,0.83,0.464013529,0.43,-0.056389537,0.014537458,-0.023208251,0.030710143,0.276391286,0.153550714,0.307,-1.332808588,2.765285827,-1.001986557,3,,2,Complex Spike,17.56,0,2.696,1,0.111,0.768,0.683,0.969,0.685,0.069,0.842,0.156488989
72.98,0.012,6.677,0.471,27.203,18-08-30_YC001,18-08-30_YC001_probe1,166,0,0,0,0,0,0.064485273,0.39128203,0.114808195,0.143030257,0.08292763,0.6,0.476616357,0.1,-0.015222079,0.003407732,0.036322005,0.008292763,0.074634866,0.041463815,0.083,-10.45192657,6.148421764,-0.14459563,1,,1,Purkinke,16.43,0,88.999,0,0.007,0.419,0.516,0.499,0.25,0.02,1.627,0.289915123
197.42,0.004,4.321,0.26,32.027,18-08-30_YC001,18-08-30_YC001_probe1,177,0,0,0,0,0,0.072928003,0.204118744,0.139409964,0.184242759,0.2749448,0.43,0.486442046,0.23,-0.004710951,0.014960989,0.031347668,0.027494481,0.247450331,0.137472406,0.275,-4.075366259,5.16478426,-0.453349079,1,,1,Purkinke,14.6,0,244.052,0,0.003,0.071,0.792,0.281,0.149,0.013,4.24,0.296868641
53.54,0.017,7.223,0.78,78.921,18-08-30_YC001,18-08-30_YC001_probe1,188,0,0,0,0,0,0.032749511,0.062829953,0.061299349,0.086321098,0.4086336,0.16,0.129308613,0.1,-0.008663288,-0.005661028,-0.019795055,0.040863359,0.367770231,0.204316795,0.409,-7.4377479,11.14196457,-1.356381845,2,3,5,Go + MF,18.72,0,109.963,0,0.002,0.676,0.65,0.958,0.681,0.073,0.684,0.109318736
13.45,0.064,6.446,0.434,4.762,18-08-30_YC001,18-08-30_YC001_probe1,189,0,0,0,0,0,0.039558126,0.077500117,0.057147774,0.065726107,0.3475098,0.16,0.121152204,0.07,-0.003935719,0.017773937,-0.008335268,0.03475098,0.312758821,0.173754901,0.348,-16.58424187,14.26112354,-1.233063447,1,,1,Purkinke,14.13,0,16.612,0,0.034,0.368,0.541,0.458,0.217,0.018,2.027,0.083238027
10.02,0.067,6.553,0.648,10.408,18-08-30_YC001,18-08-30_YC001_probe1,190,0,0,0,0,0,0.070489414,0.152023367,0.081065421,0.097033304,0.55414176,0.27,0.311137616,0.14,-0.001838371,-0.007348546,0.035909142,0.055414176,0.498727584,0.27707088,0.554,-10.79172692,7.270726769,-1.626006938,2,1,3,Potentially MLI,30.88,0,22.617,0,0.015,0.582,0.936,0.731,0.461,0.043,1.647,0.159581136
0.81,0.771,5.924,0.893,2.474,18-08-30_YC001,18-08-30_YC001_probe1,193,0,0,0,0,0,0.048378426,0.095644781,0.094949206,0.114889015,0.2792074,0.23,0.206910773,0.1,-0.016766788,0.004841747,-0.001584844,0.027920741,0.251286668,0.139603704,0.279,-8.462776411,6.765414034,-0.844462521,3,,2,Complex Spike,13.16,0,2.476,7,0.114,0.935,0.989,1.121,0.831,0.091,1.825,0.147656552
