Sample,Unit,Unit_Peak_Ch,Unit_Spikes,Unit_Wvf_Peaks,Unit_vs_Temp_CS,Unit_vs_Temp_CS_dummy,Unit_RPV,Unit_Fp,Unit_MFR,Unit_MeanAmp,Unit_MinAmp,Unit_Missing_Spikes,Unit_Missing_Spikes_dummy,Chunk,Chunk_Len,Chunk_Spikes,Chunk_Peaks_Wvf,Chunk_vs_Temp_CS,Chunk_vs_Temp_CS_dummy,Chunk_vs_Unit_CS,Chunk_vs_Unit_CS_dummy,Chunk_RPV,Chunk_Fp,Chunk_MFR,Chunk_MA,Chunk_Missing_Spikes,Chunk_Missing_Spikes_dummy
19-01-16_YC011,24,73,13210,2,0.98,1,0,0,12.44,13.74,12.139447469711303,97,0,0,"(0, 60)",707,2,0.98,1,1.0,1,0,0,13.45,13.52,98,0
19-01-16_YC011,24,73,13210,2,0.98,1,0,0,12.44,13.74,12.139447469711303,97,0,1,"(60, 120)",752,2,0.97,1,1.0,1,0,0,14.43,13.66,94,0
19-01-16_YC011,24,73,13210,2,0.98,1,0,0,12.44,13.74,12.139447469711303,97,0,2,"(120, 180)",712,2,0.97,1,1.0,1,0,0,13.57,13.48,48,0
19-01-16_YC011,24,73,13210,2,0.98,1,0,0,12.44,13.74,12.139447469711303,97,0,3,"(180, 240)",650,2,0.98,1,1.0,1,0,0,12.16,13.55,60,0
19-01-16_YC011,24,73,13210,2,0.98,1,0,0,12.44,13.74,12.139447469711303,97,0,4,"(240, 300)",673,2,0.98,1,1.0,1,0,0,12.44,13.55,100,0
19-01-16_YC011,24,73,13210,2,0.98,1,0,0,12.44,13.74,12.139447469711303,97,0,5,"(300, 360)",712,2,0.97,1,1.0,1,0,0,13.46,13.63,68,0
19-01-16_YC011,24,73,13210,2,0.98,1,0,0,12.44,13.74,12.139447469711303,97,0,6,"(360, 420)",646,2,0.97,1,1.0,1,0,0,12.39,13.59,89,0
19-01-16_YC011,24,73,13210,2,0.98,1,0,0,12.44,13.74,12.139447469711303,97,0,7,"(420, 480)",591,2,0.97,1,1.0,1,0,0,11.07,13.6,78,0
19-01-16_YC011,24,73,13210,2,0.98,1,0,0,12.44,13.74,12.139447469711303,97,0,8,"(480, 540)",672,2,0.98,1,1.0,1,0,0,12.48,13.54,92,0
19-01-16_YC011,24,73,13210,2,0.98,1,0,0,12.44,13.74,12.139447469711303,97,0,9,"(540, 600)",652,2,0.97,1,1.0,1,0,0,12.27,13.53,48,0
19-01-16_YC011,24,73,13210,2,0.98,1,0,0,12.44,13.74,12.139447469711303,97,0,10,"(600, 660)",677,2,0.98,1,1.0,1,0,0,12.67,13.55,100,0
19-01-16_YC011,24,73,13210,2,0.98,1,0,0,12.44,13.74,12.139447469711303,97,0,11,"(660, 720)",656,2,0.98,1,1.0,1,0,0,12.59,13.62,80,0
19-01-16_YC011,24,73,13210,2,0.98,1,0,0,12.44,13.74,12.139447469711303,97,0,12,"(720, 780)",621,2,0.97,1,1.0,1,0,0,11.62,13.62,98,0
19-01-16_YC011,24,73,13210,2,0.98,1,0,0,12.44,13.74,12.139447469711303,97,0,13,"(780, 840)",675,2,0.98,1,1.0,1,0,0,12.54,13.52,49,0
19-01-16_YC011,24,73,13210,2,0.98,1,0,0,12.44,13.74,12.139447469711303,97,0,14,"(840, 900)",647,2,0.98,1,1.0,1,0,0,12.29,13.55,100,0
19-01-16_YC011,24,73,13210,2,0.98,1,0,0,12.44,13.74,12.139447469711303,97,0,15,"(900, 960)",625,2,0.97,1,1.0,1,0,0,12.13,13.62,100,0
19-01-16_YC011,24,73,13210,2,0.98,1,0,0,12.44,13.74,12.139447469711303,97,0,16,"(960, 1020)",669,2,0.98,1,1.0,1,0,0,12.54,13.65,82,0
19-01-16_YC011,24,73,13210,2,0.98,1,0,0,12.44,13.74,12.139447469711303,97,0,17,"(1020, 1080)",640,2,0.97,1,1.0,1,0,0,11.95,13.68,100,0
19-01-16_YC011,24,73,13210,2,0.98,1,0,0,12.44,13.74,12.139447469711303,97,0,18,"(1080, 1140)",644,2,0.97,1,1.0,1,0,0,12.21,13.59,100,0
19-01-16_YC011,24,73,13210,2,0.98,1,0,0,12.44,13.74,12.139447469711303,97,0,19,"(1140, 1200)",589,2,0.97,1,1.0,1,0,0,11.16,13.6,100,0
