Sample,Unit,Unit_Peak_Ch,Unit_Spikes,Unit_Spikes_dummy,Unit_Wvf_Peaks,Unit_Wvf_Peaks_dummy,Unit_Biggest_Peak,Unit_vs_Temp_CS,Unit_vs_Temp_CS_dummy,Unit_RPV,Unit_Fp,Unit_Fp_dummy,Unit_MFR,Unit_MeanAmp,Unit_MinAmp,Unit_Missing_Spikes,Unit_Missing_Spikes_dummy,Chunk,Chunk_Len,Chunk_Spikes,Chunk_Wvf_Peaks,Chunk_Wvf_Peaks_dummy,Chunk_Biggest_Peak,Chunk_vs_Temp_CS,Chunk_vs_Temp_CS_dummy,Chunk_vs_Unit_CS,Chunk_vs_Unit_CS_dummy,Chunk_RPV,Chunk_Fp,Chunk_MFR,Chunk_MA,Chunk_Missing_Spikes,Chunk_Missing_Spikes_dummy
19-01-16_YC011,20,74,65335,1,2,1,1,0.99,1,0,0,1,54.45,15.14,12.49492084503174,7,1,0,"(0, 60)",3236,2,1,1,0.99,1,1.0,1,0,0,53.95,15.3,6,1
19-01-16_YC011,20,74,65335,1,2,1,1,0.99,1,0,0,1,54.45,15.14,12.49492084503174,7,1,1,"(60, 120)",3182,2,1,1,0.99,1,1.0,1,0,0,53.08,15.22,7,1
19-01-16_YC011,20,74,65335,1,2,1,1,0.99,1,0,0,1,54.45,15.14,12.49492084503174,7,1,2,"(120, 180)",3628,2,1,1,0.99,1,1.0,1,0,0,60.5,14.9,10,1
19-01-16_YC011,20,74,65335,1,2,1,1,0.99,1,0,0,1,54.45,15.14,12.49492084503174,7,1,3,"(180, 240)",3545,2,1,1,0.99,1,1.0,1,0,0,59.08,15.16,7,1
19-01-16_YC011,20,74,65335,1,2,1,1,0.99,1,0,0,1,54.45,15.14,12.49492084503174,7,1,4,"(240, 300)",3357,2,1,1,0.99,1,1.0,1,0,0,56.03,15.16,6,1
19-01-16_YC011,20,74,65335,1,2,1,1,0.99,1,0,0,1,54.45,15.14,12.49492084503174,7,1,5,"(300, 360)",3349,2,1,1,0.99,1,1.0,1,0,0,55.84,15.23,7,1
19-01-16_YC011,20,74,65335,1,2,1,1,0.99,1,0,0,1,54.45,15.14,12.49492084503174,7,1,6,"(360, 420)",3208,2,1,1,0.99,1,1.0,1,0,0,53.48,15.11,7,1
19-01-16_YC011,20,74,65335,1,2,1,1,0.99,1,0,0,1,54.45,15.14,12.49492084503174,7,1,7,"(420, 480)",3115,2,1,1,0.99,1,1.0,1,0,0,51.92,15.25,6,1
19-01-16_YC011,20,74,65335,1,2,1,1,0.99,1,0,0,1,54.45,15.14,12.49492084503174,7,1,8,"(480, 540)",3493,2,1,1,0.99,1,1.0,1,0,0,58.29,15.0,8,1
19-01-16_YC011,20,74,65335,1,2,1,1,0.99,1,0,0,1,54.45,15.14,12.49492084503174,7,1,9,"(540, 600)",3277,2,1,1,0.99,1,1.0,1,0,0,54.61,15.19,6,1
19-01-16_YC011,20,74,65335,1,2,1,1,0.99,1,0,0,1,54.45,15.14,12.49492084503174,7,1,10,"(600, 660)",3476,2,1,1,0.98,1,1.0,1,0,0,57.94,15.06,7,1
19-01-16_YC011,20,74,65335,1,2,1,1,0.99,1,0,0,1,54.45,15.14,12.49492084503174,7,1,11,"(660, 720)",3574,2,1,1,0.99,1,1.0,1,0,0,59.62,15.05,8,1
19-01-16_YC011,20,74,65335,1,2,1,1,0.99,1,0,0,1,54.45,15.14,12.49492084503174,7,1,12,"(720, 780)",3215,2,1,1,0.99,1,1.0,1,0,0,53.59,15.05,7,1
19-01-16_YC011,20,74,65335,1,2,1,1,0.99,1,0,0,1,54.45,15.14,12.49492084503174,7,1,13,"(780, 840)",3173,2,1,1,0.99,1,1.0,1,0,0,52.89,15.1,7,1
19-01-16_YC011,20,74,65335,1,2,1,1,0.99,1,0,0,1,54.45,15.14,12.49492084503174,7,1,14,"(840, 900)",3250,2,1,1,0.99,1,1.0,1,0,0,54.15,15.16,6,1
19-01-16_YC011,20,74,65335,1,2,1,1,0.99,1,0,0,1,54.45,15.14,12.49492084503174,7,1,15,"(900, 960)",3019,2,1,1,0.99,1,1.0,1,0,0,50.33,15.18,8,1
19-01-16_YC011,20,74,65335,1,2,1,1,0.99,1,0,0,1,54.45,15.14,12.49492084503174,7,1,16,"(960, 1020)",3037,2,1,1,0.99,1,1.0,1,0,0,50.61,15.0,8,1
19-01-16_YC011,20,74,65335,1,2,1,1,0.99,1,0,0,1,54.45,15.14,12.49492084503174,7,1,17,"(1020, 1080)",3217,2,1,1,0.99,1,1.0,1,0,0,53.63,15.15,6,1
19-01-16_YC011,20,74,65335,1,2,1,1,0.99,1,0,0,1,54.45,15.14,12.49492084503174,7,1,18,"(1080, 1140)",2935,2,1,1,0.99,1,1.0,1,0,0,49.04,15.35,6,1
19-01-16_YC011,20,74,65335,1,2,1,1,0.99,1,0,0,1,54.45,15.14,12.49492084503174,7,1,19,"(1140, 1200)",3049,2,1,1,0.99,1,1.0,1,0,0,50.82,15.22,7,1
