Sample,Unit,Unit_Peak_Ch,Unit_Spikes,Unit_Wvf_Peaks,Unit_vs_Temp_CS,Unit_vs_Temp_CS_dummy,Unit_RPV,Unit_Fp,Unit_MFR,Unit_MeanAmp,Unit_MinAmp,Unit_Missing_Spikes,Unit_Missing_Spikes_dummy,Chunk,Chunk_Len,Chunk_Spikes,Chunk_Peaks_Wvf,Chunk_vs_Temp_CS,Chunk_vs_Temp_CS_dummy,Chunk_vs_Unit_CS,Chunk_vs_Unit_CS_dummy,Chunk_RPV,Chunk_Fp,Chunk_MFR,Chunk_MA,Chunk_Missing_Spikes,Chunk_Missing_Spikes_dummy
19-01-16_YC011,55,141,9764,2,0.88,1,0,0,10.98,18.26,14.208449268341065,0,1,0,"(0, 60)",567,2,0.82,1,0.99,1,0,0,11.4,16.16,4,1
19-01-16_YC011,55,141,9764,2,0.88,1,0,0,10.98,18.26,14.208449268341065,0,1,1,"(60, 120)",471,2,0.82,1,0.99,1,0,0,10.75,16.9,10,1
19-01-16_YC011,55,141,9764,2,0.88,1,0,0,10.98,18.26,14.208449268341065,0,1,2,"(120, 180)",428,2,0.86,1,1.0,1,0,0,10.83,18.52,4,1
19-01-16_YC011,55,141,9764,2,0.88,1,0,0,10.98,18.26,14.208449268341065,0,1,3,"(180, 240)",429,2,0.87,1,1.0,1,0,0,9.05,18.54,7,1
19-01-16_YC011,55,141,9764,2,0.88,1,0,0,10.98,18.26,14.208449268341065,0,1,4,"(240, 300)",549,2,0.87,1,1.0,1,0,0,12.38,18.57,4,1
19-01-16_YC011,55,141,9764,2,0.88,1,0,0,10.98,18.26,14.208449268341065,0,1,5,"(300, 360)",555,2,0.88,1,1.0,1,0,0,12.32,18.62,5,1
19-01-16_YC011,55,141,9764,2,0.88,1,0,0,10.98,18.26,14.208449268341065,0,1,6,"(360, 420)",593,2,0.87,1,1.0,1,0,0,12.42,18.31,3,1
19-01-16_YC011,55,141,9764,2,0.88,1,0,0,10.98,18.26,14.208449268341065,0,1,7,"(420, 480)",461,3,0.87,1,1.0,1,0,0,10.1,18.51,2,1
19-01-16_YC011,55,141,9764,2,0.88,1,0,0,10.98,18.26,14.208449268341065,0,1,8,"(480, 540)",457,2,0.89,1,1.0,1,0,0,9.95,18.64,4,1
19-01-16_YC011,55,141,9764,2,0.88,1,0,0,10.98,18.26,14.208449268341065,0,1,9,"(540, 600)",564,3,0.9,1,1.0,1,0,0,12.82,18.94,5,1
19-01-16_YC011,55,141,9764,2,0.88,1,0,0,10.98,18.26,14.208449268341065,0,1,10,"(600, 660)",400,2,0.89,1,1.0,1,0,0,9.17,18.91,4,1
19-01-16_YC011,55,141,9764,2,0.88,1,0,0,10.98,18.26,14.208449268341065,0,1,11,"(660, 720)",494,2,0.88,1,1.0,1,0,0,10.69,18.38,4,1
19-01-16_YC011,55,141,9764,2,0.88,1,0,0,10.98,18.26,14.208449268341065,0,1,12,"(720, 780)",517,2,0.88,1,1.0,1,0,0,12.67,18.44,4,1
19-01-16_YC011,55,141,9764,2,0.88,1,0,0,10.98,18.26,14.208449268341065,0,1,13,"(780, 840)",541,2,0.88,1,1.0,1,0,0,12.62,18.42,6,1
19-01-16_YC011,55,141,9764,2,0.88,1,0,0,10.98,18.26,14.208449268341065,0,1,14,"(840, 900)",456,1,0.88,1,1.0,1,0,0,10.23,18.24,5,1
19-01-16_YC011,55,141,9764,2,0.88,1,0,0,10.98,18.26,14.208449268341065,0,1,15,"(900, 960)",463,2,0.88,1,1.0,1,0,0,10.72,18.01,2,1
19-01-16_YC011,55,141,9764,2,0.88,1,0,0,10.98,18.26,14.208449268341065,0,1,16,"(960, 1020)",415,2,0.88,1,1.0,1,0,0,8.93,18.24,3,1
19-01-16_YC011,55,141,9764,2,0.88,1,0,0,10.98,18.26,14.208449268341065,0,1,17,"(1020, 1080)",514,2,0.89,1,1.0,1,0,0,11.71,18.41,3,1
19-01-16_YC011,55,141,9764,2,0.88,1,0,0,10.98,18.26,14.208449268341065,0,1,18,"(1080, 1140)",363,1,0.89,1,1.0,1,0,0,8.53,18.49,7,1
19-01-16_YC011,55,141,9764,2,0.88,1,0,0,10.98,18.26,14.208449268341065,0,1,19,"(1140, 1200)",527,2,0.9,1,1.0,1,0,0,12.29,18.55,6,1
