Sample,Unit,Unit_Peak_Ch,Unit_Spikes,Unit_Wvf_Peaks,Unit_vs_Temp_CS,Unit_vs_Temp_CS_dummy,Unit_RPV,Unit_Fp,Unit_MFR,Unit_MeanAmp,Unit_MinAmp,Unit_Missing_Spikes,Unit_Missing_Spikes_dummy,Chunk,Chunk_Len,Chunk_Spikes,Chunk_Peaks_Wvf,Chunk_vs_Temp_CS,Chunk_vs_Temp_CS_dummy,Chunk_vs_Unit_CS,Chunk_vs_Unit_CS_dummy,Chunk_RPV,Chunk_Fp,Chunk_MFR,Chunk_MA,Chunk_Missing_Spikes,Chunk_Missing_Spikes_dummy
19-01-16_YC011,120,229,14118,2,0.98,1,0,0,14.12,13.71,12.136113004684448,42,0,0,"(0, 60)",619,2,0.95,1,0.98,1,0,0,13.16,13.71,77,0
19-01-16_YC011,120,229,14118,2,0.98,1,0,0,14.12,13.71,12.136113004684448,42,0,1,"(60, 120)",332,2,0.96,1,0.99,1,0,0,6.61,13.49,62,0
19-01-16_YC011,120,229,14118,2,0.98,1,0,0,14.12,13.71,12.136113004684448,42,0,2,"(120, 180)",353,2,0.97,1,1.0,1,0,0,6.89,13.48,67,0
19-01-16_YC011,120,229,14118,2,0.98,1,0,0,14.12,13.71,12.136113004684448,42,0,3,"(180, 240)",400,2,0.97,1,1.0,1,0,0,7.69,13.47,64,0
19-01-16_YC011,120,229,14118,2,0.98,1,0,0,14.12,13.71,12.136113004684448,42,0,4,"(240, 300)",481,2,0.97,1,1.0,1,0,0,9.16,13.39,71,0
19-01-16_YC011,120,229,14118,2,0.98,1,0,0,14.12,13.71,12.136113004684448,42,0,5,"(300, 360)",441,2,0.98,1,1.0,1,0,0,8.45,13.29,98,0
19-01-16_YC011,120,229,14118,2,0.98,1,0,0,14.12,13.71,12.136113004684448,42,0,6,"(360, 420)",585,2,0.98,1,1.0,1,0,0,10.89,13.43,82,0
19-01-16_YC011,120,229,14118,2,0.98,1,0,0,14.12,13.71,12.136113004684448,42,0,7,"(420, 480)",577,2,0.98,1,1.0,1,0,0,11.01,13.34,57,0
19-01-16_YC011,120,229,14118,2,0.98,1,0,0,14.12,13.71,12.136113004684448,42,0,8,"(480, 540)",643,2,0.98,1,1.0,1,0,0,12.69,13.53,80,0
19-01-16_YC011,120,229,14118,2,0.98,1,0,0,14.12,13.71,12.136113004684448,42,0,9,"(540, 600)",666,2,0.98,1,1.0,1,0,0,12.87,13.54,50,0
19-01-16_YC011,120,229,14118,2,0.98,1,0,0,14.12,13.71,12.136113004684448,42,0,10,"(600, 660)",725,2,0.98,1,1.0,1,0,0,14.1,13.6,49,0
19-01-16_YC011,120,229,14118,2,0.98,1,0,0,14.12,13.71,12.136113004684448,42,0,11,"(660, 720)",852,2,0.98,1,1.0,1,0,0,16.22,13.55,39,0
19-01-16_YC011,120,229,14118,2,0.98,1,0,0,14.12,13.71,12.136113004684448,42,0,12,"(720, 780)",870,2,0.98,1,1.0,1,0,0,16.64,13.62,53,0
19-01-16_YC011,120,229,14118,2,0.98,1,0,0,14.12,13.71,12.136113004684448,42,0,13,"(780, 840)",874,2,0.98,1,1.0,1,0,0,16.73,13.61,45,0
19-01-16_YC011,120,229,14118,2,0.98,1,0,0,14.12,13.71,12.136113004684448,42,0,14,"(840, 900)",998,2,0.98,1,1.0,1,0,0,19.62,13.7,44,0
19-01-16_YC011,120,229,14118,2,0.98,1,0,0,14.12,13.71,12.136113004684448,42,0,15,"(900, 960)",962,2,0.98,1,1.0,1,0,0,18.65,13.66,45,0
19-01-16_YC011,120,229,14118,2,0.98,1,0,0,14.12,13.71,12.136113004684448,42,0,16,"(960, 1020)",973,2,0.98,1,1.0,1,0,0,19.03,13.8,41,0
19-01-16_YC011,120,229,14118,2,0.98,1,0,0,14.12,13.71,12.136113004684448,42,0,17,"(1020, 1080)",800,2,0.98,1,1.0,1,0,0,15.26,13.7,38,0
19-01-16_YC011,120,229,14118,2,0.98,1,0,0,14.12,13.71,12.136113004684448,42,0,18,"(1080, 1140)",954,2,0.98,1,1.0,1,0,0,18.56,13.76,34,0
19-01-16_YC011,120,229,14118,2,0.98,1,0,0,14.12,13.71,12.136113004684448,42,0,19,"(1140, 1200)",1013,2,0.98,1,1.0,1,0,0,19.42,13.73,45,0
