Sample,Unit,Unit_Peak_Ch,Unit_Spikes,Unit_Wvf_Peaks,Unit_vs_Temp_CS,Unit_vs_Temp_CS_dummy,Unit_RPV,Unit_Fp,Unit_MFR,Unit_MeanAmp,Unit_MinAmp,Unit_Missing_Spikes,Unit_Missing_Spikes_dummy,Chunk,Chunk_Len,Chunk_Spikes,Chunk_Peaks_Wvf,Chunk_vs_Temp_CS,Chunk_vs_Temp_CS_dummy,Chunk_vs_Unit_CS,Chunk_vs_Unit_CS_dummy,Chunk_RPV,Chunk_Fp,Chunk_MFR,Chunk_MA,Chunk_Missing_Spikes,Chunk_Missing_Spikes_dummy
19-01-16_YC011,113,213,15843,2,0.97,1,0,0,14.73,13.61,12.120400428771973,67,0,0,"(0, 60)",758,2,0.94,1,0.99,1,0,0,14.22,13.48,95,0
19-01-16_YC011,113,213,15843,2,0.97,1,0,0,14.73,13.61,12.120400428771973,67,0,1,"(60, 120)",806,2,0.94,1,0.99,1,0,0,15.02,13.57,74,0
19-01-16_YC011,113,213,15843,2,0.97,1,0,0,14.73,13.61,12.120400428771973,67,0,2,"(120, 180)",970,2,0.95,1,1.0,1,0,0,18.43,13.66,80,0
19-01-16_YC011,113,213,15843,2,0.97,1,0,0,14.73,13.61,12.120400428771973,67,0,3,"(180, 240)",780,2,0.97,1,1.0,1,0,0,14.42,13.51,47,0
19-01-16_YC011,113,213,15843,2,0.97,1,0,0,14.73,13.61,12.120400428771973,67,0,4,"(240, 300)",871,2,0.97,1,1.0,1,0,0,16.11,13.53,94,0
19-01-16_YC011,113,213,15843,2,0.97,1,0,0,14.73,13.61,12.120400428771973,67,0,5,"(300, 360)",780,2,0.96,1,1.0,1,0,0,14.25,13.46,75,0
19-01-16_YC011,113,213,15843,2,0.97,1,0,0,14.73,13.61,12.120400428771973,67,0,6,"(360, 420)",853,2,0.97,1,1.0,1,0,0,15.67,13.56,92,0
19-01-16_YC011,113,213,15843,2,0.97,1,0,0,14.73,13.61,12.120400428771973,67,0,7,"(420, 480)",749,2,0.97,1,1.0,1,0,0,13.77,13.48,44,0
19-01-16_YC011,113,213,15843,2,0.97,1,0,0,14.73,13.61,12.120400428771973,67,0,8,"(480, 540)",836,2,0.96,1,1.0,1,0,0,15.24,13.54,56,0
19-01-16_YC011,113,213,15843,2,0.97,1,0,0,14.73,13.61,12.120400428771973,67,0,9,"(540, 600)",827,2,0.97,1,1.0,1,0,0,15.28,13.48,88,0
19-01-16_YC011,113,213,15843,2,0.97,1,0,0,14.73,13.61,12.120400428771973,67,0,10,"(600, 660)",798,2,0.97,1,1.0,1,0,0,14.83,13.43,74,0
19-01-16_YC011,113,213,15843,2,0.97,1,0,0,14.73,13.61,12.120400428771973,67,0,11,"(660, 720)",783,2,0.97,1,1.0,1,0,0,14.62,13.41,78,0
19-01-16_YC011,113,213,15843,2,0.97,1,0,0,14.73,13.61,12.120400428771973,67,0,12,"(720, 780)",822,2,0.97,1,1.0,1,0,0,15.29,13.48,63,0
19-01-16_YC011,113,213,15843,2,0.97,1,0,0,14.73,13.61,12.120400428771973,67,0,13,"(780, 840)",747,2,0.97,1,1.0,1,0,0,13.98,13.43,94,0
19-01-16_YC011,113,213,15843,2,0.97,1,0,0,14.73,13.61,12.120400428771973,67,0,14,"(840, 900)",733,2,0.97,1,1.0,1,0,0,13.74,13.46,61,0
19-01-16_YC011,113,213,15843,2,0.97,1,0,0,14.73,13.61,12.120400428771973,67,0,15,"(900, 960)",734,2,0.97,1,1.0,1,0,0,13.72,13.4,64,0
19-01-16_YC011,113,213,15843,2,0.97,1,0,0,14.73,13.61,12.120400428771973,67,0,16,"(960, 1020)",853,2,0.96,1,1.0,1,0,0,15.98,13.49,85,0
19-01-16_YC011,113,213,15843,2,0.97,1,0,0,14.73,13.61,12.120400428771973,67,0,17,"(1020, 1080)",711,2,0.97,1,1.0,1,0,0,13.22,13.42,56,0
19-01-16_YC011,113,213,15843,2,0.97,1,0,0,14.73,13.61,12.120400428771973,67,0,18,"(1080, 1140)",701,2,0.97,1,1.0,1,0,0,13.25,13.42,88,0
19-01-16_YC011,113,213,15843,2,0.97,1,0,0,14.73,13.61,12.120400428771973,67,0,19,"(1140, 1200)",731,2,0.97,1,1.0,1,0,0,13.51,13.39,70,0
