Sample,Unit,Unit_Peak_Ch,Unit_Spikes,Unit_Spikes_dummy,Unit_Wvf_Peaks,Unit_Wvf_Peaks_dummy,Unit_Biggest_Peak,Unit_vs_Temp_CS,Unit_vs_Temp_CS_dummy,Unit_RPV,Unit_Fp,Unit_Fp_dummy,Unit_MFR,Unit_MeanAmp,Unit_MinAmp,Unit_Missing_Spikes,Unit_Missing_Spikes_dummy,Chunk,Chunk_Len,Chunk_Spikes,Chunk_Wvf_Peaks,Chunk_Wvf_Peaks_dummy,Chunk_Biggest_Peak,Chunk_vs_Temp_CS,Chunk_vs_Temp_CS_dummy,Chunk_vs_Unit_CS,Chunk_vs_Unit_CS_dummy,Chunk_RPV,Chunk_Fp,Chunk_MFR,Chunk_MA,Chunk_Missing_Spikes,Chunk_Missing_Spikes_dummy
19-01-16_YC011,76,173,11381,1,2,1,1,0.96,1,0,0,1,10.88,14.72,12.268623542785644,47,0,0,"(0, 60)",638,2,1,1,0.95,1,1.0,1,0,0,11.79,15.33,27,0
19-01-16_YC011,76,173,11381,1,2,1,1,0.96,1,0,0,1,10.88,14.72,12.268623542785644,47,0,1,"(60, 120)",898,2,1,1,0.94,1,0.99,1,0,0,17.18,14.94,61,0
19-01-16_YC011,76,173,11381,1,2,1,1,0.96,1,0,0,1,10.88,14.72,12.268623542785644,47,0,2,"(120, 180)",751,2,1,1,0.95,1,0.99,1,0,0,14.29,14.84,48,0
19-01-16_YC011,76,173,11381,1,2,1,1,0.96,1,0,0,1,10.88,14.72,12.268623542785644,47,0,3,"(180, 240)",315,3,1,1,0.96,1,0.99,1,0,0,5.85,14.73,45,0
19-01-16_YC011,76,173,11381,1,2,1,1,0.96,1,0,0,1,10.88,14.72,12.268623542785644,47,0,4,"(240, 300)",505,2,1,1,0.95,1,1.0,1,0,0,9.45,14.72,42,0
19-01-16_YC011,76,173,11381,1,2,1,1,0.96,1,0,0,1,10.88,14.72,12.268623542785644,47,0,5,"(300, 360)",702,2,1,1,0.97,1,1.0,1,0,0,12.97,14.62,41,0
19-01-16_YC011,76,173,11381,1,2,1,1,0.96,1,0,0,1,10.88,14.72,12.268623542785644,47,0,6,"(360, 420)",590,2,1,1,0.96,1,1.0,1,0,0,11.27,14.61,56,0
19-01-16_YC011,76,173,11381,1,2,1,1,0.96,1,0,0,1,10.88,14.72,12.268623542785644,47,0,7,"(420, 480)",679,2,1,1,0.96,1,1.0,1,0,0,12.71,14.63,62,0
19-01-16_YC011,76,173,11381,1,2,1,1,0.96,1,0,0,1,10.88,14.72,12.268623542785644,47,0,8,"(480, 540)",674,2,1,1,0.96,1,1.0,1,0,0,12.99,14.38,62,0
19-01-16_YC011,76,173,11381,1,2,1,1,0.96,1,0,0,1,10.88,14.72,12.268623542785644,47,0,9,"(540, 600)",509,2,1,1,0.96,1,1.0,1,0,0,9.78,14.4,58,0
19-01-16_YC011,76,173,11381,1,2,1,1,0.96,1,0,0,1,10.88,14.72,12.268623542785644,47,0,10,"(600, 660)",615,3,1,1,0.97,1,1.0,1,0,0,11.66,14.52,94,0
19-01-16_YC011,76,173,11381,1,2,1,1,0.96,1,0,0,1,10.88,14.72,12.268623542785644,47,0,11,"(660, 720)",459,2,1,1,0.96,1,1.0,1,0,0,8.94,14.27,100,0
19-01-16_YC011,76,173,11381,1,2,1,1,0.96,1,0,0,1,10.88,14.72,12.268623542785644,47,0,12,"(720, 780)",485,2,1,1,0.97,1,1.0,1,0,0,9.14,14.41,54,0
19-01-16_YC011,76,173,11381,1,2,1,1,0.96,1,0,0,1,10.88,14.72,12.268623542785644,47,0,13,"(780, 840)",444,2,1,1,0.96,1,1.0,1,0,0,8.38,14.56,79,0
19-01-16_YC011,76,173,11381,1,2,1,1,0.96,1,0,0,1,10.88,14.72,12.268623542785644,47,0,14,"(840, 900)",420,2,1,1,0.96,1,1.0,1,0,0,7.72,14.33,51,0
19-01-16_YC011,76,173,11381,1,2,1,1,0.96,1,0,0,1,10.88,14.72,12.268623542785644,47,0,15,"(900, 960)",425,2,1,1,0.97,1,0.99,1,0,0,8.17,14.29,65,0
19-01-16_YC011,76,173,11381,1,2,1,1,0.96,1,0,0,1,10.88,14.72,12.268623542785644,47,0,16,"(960, 1020)",625,2,1,1,0.97,1,1.0,1,0,0,12.22,14.28,74,0
19-01-16_YC011,76,173,11381,1,2,1,1,0.96,1,0,0,1,10.88,14.72,12.268623542785644,47,0,17,"(1020, 1080)",523,2,1,1,0.96,1,1.0,1,0,0,9.67,14.2,50,0
19-01-16_YC011,76,173,11381,1,2,1,1,0.96,1,0,0,1,10.88,14.72,12.268623542785644,47,0,18,"(1080, 1140)",568,2,1,1,0.96,1,1.0,1,0,0,10.87,14.22,58,0
19-01-16_YC011,76,173,11381,1,2,1,1,0.96,1,0,0,1,10.88,14.72,12.268623542785644,47,0,19,"(1140, 1200)",556,2,1,1,0.97,1,0.99,1,0,0,10.34,14.19,95,0
