Sample,Unit,Unit_Peak_Ch,Unit_Spikes,Unit_Spikes_dummy,Unit_Wvf_Peaks,Unit_Wvf_Peaks_dummy,Unit_Biggest_Peak,Unit_vs_Temp_CS,Unit_vs_Temp_CS_dummy,Unit_RPV,Unit_Fp,Unit_Fp_dummy,Unit_MFR,Unit_MeanAmp,Unit_MinAmp,Unit_Missing_Spikes,Unit_Missing_Spikes_dummy,Chunk,Chunk_Len,Chunk_Spikes,Chunk_Wvf_Peaks,Chunk_Wvf_Peaks_dummy,Chunk_Biggest_Peak,Chunk_vs_Temp_CS,Chunk_vs_Temp_CS_dummy,Chunk_vs_Unit_CS,Chunk_vs_Unit_CS_dummy,Chunk_RPV,Chunk_Fp,Chunk_MFR,Chunk_MA,Chunk_Missing_Spikes,Chunk_Missing_Spikes_dummy
19-01-16_YC011,19,60,41166,1,2,1,1,0.96,1,0,0,1,39.1,13.59,12.109570074081422,82,0,0,"(0, 60)",3688,2,1,1,0.95,1,1.0,1,0,0,66.6,13.69,56,0
19-01-16_YC011,19,60,41166,1,2,1,1,0.96,1,0,0,1,39.1,13.59,12.109570074081422,82,0,1,"(60, 120)",3816,2,1,1,0.96,1,1.0,1,0,0,68.84,13.82,55,0
19-01-16_YC011,19,60,41166,1,2,1,1,0.96,1,0,0,1,39.1,13.59,12.109570074081422,82,0,2,"(120, 180)",3444,2,1,1,0.96,1,1.0,1,0,0,63.27,13.64,64,0
19-01-16_YC011,19,60,41166,1,2,1,1,0.96,1,0,0,1,39.1,13.59,12.109570074081422,82,0,3,"(180, 240)",2336,2,1,1,0.96,1,1.0,1,0,0,43.15,13.37,83,0
19-01-16_YC011,19,60,41166,1,2,1,1,0.96,1,0,0,1,39.1,13.59,12.109570074081422,82,0,4,"(240, 300)",2312,2,1,1,0.96,1,1.0,1,0,0,42.33,13.47,92,0
19-01-16_YC011,19,60,41166,1,2,1,1,0.96,1,0,0,1,39.1,13.59,12.109570074081422,82,0,5,"(300, 360)",2143,2,1,1,0.96,1,1.0,1,0,0,39.16,13.39,83,0
19-01-16_YC011,19,60,41166,1,2,1,1,0.96,1,0,0,1,39.1,13.59,12.109570074081422,82,0,6,"(360, 420)",2286,2,1,1,0.96,1,1.0,1,0,0,41.63,13.44,86,0
19-01-16_YC011,19,60,41166,1,2,1,1,0.96,1,0,0,1,39.1,13.59,12.109570074081422,82,0,7,"(420, 480)",1943,2,1,1,0.96,1,1.0,1,0,0,35.92,13.36,100,0
19-01-16_YC011,19,60,41166,1,2,1,1,0.96,1,0,0,1,39.1,13.59,12.109570074081422,82,0,8,"(480, 540)",2112,2,1,1,0.96,1,1.0,1,0,0,39.15,13.41,100,0
19-01-16_YC011,19,60,41166,1,2,1,1,0.96,1,0,0,1,39.1,13.59,12.109570074081422,82,0,9,"(540, 600)",1685,2,1,1,0.96,1,1.0,1,0,0,31.5,13.34,49,0
19-01-16_YC011,19,60,41166,1,2,1,1,0.96,1,0,0,1,39.1,13.59,12.109570074081422,82,0,10,"(600, 660)",1724,2,1,1,0.96,1,1.0,1,0,0,31.92,13.34,95,0
19-01-16_YC011,19,60,41166,1,2,1,1,0.96,1,0,0,1,39.1,13.59,12.109570074081422,82,0,11,"(660, 720)",1723,2,1,1,0.96,1,1.0,1,0,0,31.88,13.35,46,0
19-01-16_YC011,19,60,41166,1,2,1,1,0.96,1,0,0,1,39.1,13.59,12.109570074081422,82,0,12,"(720, 780)",1760,2,1,1,0.96,1,1.0,1,0,0,32.48,13.32,98,0
19-01-16_YC011,19,60,41166,1,2,1,1,0.96,1,0,0,1,39.1,13.59,12.109570074081422,82,0,13,"(780, 840)",1629,2,1,1,0.96,1,1.0,1,0,0,29.85,13.31,88,0
19-01-16_YC011,19,60,41166,1,2,1,1,0.96,1,0,0,1,39.1,13.59,12.109570074081422,82,0,14,"(840, 900)",1592,2,1,1,0.96,1,1.0,1,0,0,29.01,13.34,99,0
19-01-16_YC011,19,60,41166,1,2,1,1,0.96,1,0,0,1,39.1,13.59,12.109570074081422,82,0,15,"(900, 960)",1420,2,1,1,0.96,1,1.0,1,0,0,26.46,13.3,100,0
19-01-16_YC011,19,60,41166,1,2,1,1,0.96,1,0,0,1,39.1,13.59,12.109570074081422,82,0,16,"(960, 1020)",1739,2,1,1,0.96,1,1.0,1,0,0,31.98,13.37,93,0
19-01-16_YC011,19,60,41166,1,2,1,1,0.96,1,0,0,1,39.1,13.59,12.109570074081422,82,0,17,"(1020, 1080)",1347,2,1,1,0.96,1,1.0,1,0,0,24.9,13.27,40,0
19-01-16_YC011,19,60,41166,1,2,1,1,0.96,1,0,0,1,39.1,13.59,12.109570074081422,82,0,18,"(1080, 1140)",1255,2,1,1,0.96,1,1.0,1,0,0,23.4,13.27,48,0
19-01-16_YC011,19,60,41166,1,2,1,1,0.96,1,0,0,1,39.1,13.59,12.109570074081422,82,0,19,"(1140, 1200)",1212,2,1,1,0.96,1,1.0,1,0,0,22.71,13.25,90,0
