Sample,Unit,Unit_Peak_Ch,Unit_Spikes,Unit_Peaks_Wvf,Unit_vs_Temp_CS,Unit_vs_Temp_CS_t,Unit_RPV,Unit_Fp,Unit_MFR,Unit_MA,Unit_Peak_Detection_t,Unit_Drift_TR,Unit_Drif_TR_t,Chunk,Chunk_Len,Chunk_Spikes,Chunk_Peaks_Wvf,Chunk_vs_Temp_CS,Chunk_vs_Temp_CS_t,Chunk_vs_Unit_CS,Chunk_vs_Unit_CS_t,Chunk_RPV,Chunk_Fp,Chunk_MFR,Chunk_MA,Chunk_Drift_TR,Chunk_Drift_TR_t
19-01-16_YC011,41,127,2965,2,0.98,1,0,0,3.18,13.62,12.113114624023437,100,0,0,"(0, 60)",138,2,0.96,1,0.98,1,0,0.0,3.14,13.46,81,0
19-01-16_YC011,41,127,2965,2,0.98,1,0,0,3.18,13.62,12.113114624023437,100,0,1,"(60, 120)",223,2,0.98,1,0.99,1,0,0.0,4.49,13.4,49,0
19-01-16_YC011,41,127,2965,2,0.98,1,0,0,3.18,13.62,12.113114624023437,100,0,2,"(120, 180)",364,2,0.97,1,1.0,1,0,0.0,8.84,13.53,97,0
19-01-16_YC011,41,127,2965,2,0.98,1,0,0,3.18,13.62,12.113114624023437,100,0,3,"(180, 240)",208,2,0.97,1,0.99,1,1,0.0,4.57,13.51,51,0
19-01-16_YC011,41,127,2965,2,0.98,1,0,0,3.18,13.62,12.113114624023437,100,0,4,"(240, 300)",215,2,0.97,1,0.99,1,0,0.0,4.13,13.41,98,0
19-01-16_YC011,41,127,2965,2,0.98,1,0,0,3.18,13.62,12.113114624023437,100,0,5,"(300, 360)",225,2,0.98,1,0.99,1,0,0.0,4.6,13.22,100,0
19-01-16_YC011,41,127,2965,2,0.98,1,0,0,3.18,13.62,12.113114624023437,100,0,6,"(360, 420)",173,2,0.97,1,0.99,1,0,0.0,3.36,13.46,45,0
19-01-16_YC011,41,127,2965,2,0.98,1,0,0,3.18,13.62,12.113114624023437,100,0,7,"(420, 480)",218,2,0.98,1,0.99,1,9,0.01,4.52,13.43,99,0
19-01-16_YC011,41,127,2965,2,0.98,1,0,0,3.18,13.62,12.113114624023437,100,0,8,"(480, 540)",171,2,0.97,1,0.99,1,0,0.0,3.41,13.66,51,0
19-01-16_YC011,41,127,2965,2,0.98,1,0,0,3.18,13.62,12.113114624023437,100,0,9,"(540, 600)",220,2,0.98,1,0.99,1,0,0.0,4.12,13.41,100,0
19-01-16_YC011,41,127,2965,2,0.98,1,0,0,3.18,13.62,12.113114624023437,100,0,10,"(600, 660)",182,2,0.98,1,0.99,1,0,0.0,3.55,13.33,99,0
19-01-16_YC011,41,127,2965,2,0.98,1,0,0,3.18,13.62,12.113114624023437,100,0,11,"(660, 720)",106,2,0.97,1,0.99,1,0,0.0,2.08,13.27,97,0
19-01-16_YC011,41,127,2965,2,0.98,1,0,0,3.18,13.62,12.113114624023437,100,0,12,"(720, 780)",81,2,0.97,1,0.98,1,0,0.0,1.49,13.38,47,0
19-01-16_YC011,41,127,2965,2,0.98,1,0,0,3.18,13.62,12.113114624023437,100,0,13,"(780, 840)",77,2,0.97,1,0.99,1,0,0.0,1.4,13.34,21,0
19-01-16_YC011,41,127,2965,2,0.98,1,0,0,3.18,13.62,12.113114624023437,100,0,14,"(840, 900)",69,2,0.96,1,0.99,1,0,0.0,1.43,13.18,39,0
19-01-16_YC011,41,127,2965,2,0.98,1,0,0,3.18,13.62,12.113114624023437,100,0,15,"(900, 960)",70,2,0.97,1,0.98,1,0,0.0,1.47,13.39,31,0
19-01-16_YC011,41,127,2965,2,0.98,1,0,0,3.18,13.62,12.113114624023437,100,0,16,"(960, 1020)",64,2,0.96,1,0.98,1,0,0.0,1.28,13.3,100,0
19-01-16_YC011,41,127,2965,2,0.98,1,0,0,3.18,13.62,12.113114624023437,100,0,17,"(1020, 1080)",48,2,0.97,1,0.98,1,0,0.0,1.03,13.6,51,0
19-01-16_YC011,41,127,2965,2,0.98,1,0,0,3.18,13.62,12.113114624023437,100,0,18,"(1080, 1140)",59,2,0.96,1,0.97,1,0,0.0,1.18,13.15,52,0
19-01-16_YC011,41,127,2965,2,0.98,1,0,0,3.18,13.62,12.113114624023437,100,0,19,"(1140, 1200)",54,2,0.94,1,0.96,1,0,0.0,0.98,13.24,33,0
