Sample,Unit,Unit_Peak_Ch,Unit_Spikes,Unit_Peaks_Wvf,Unit_vs_Temp_CS,Unit_vs_Temp_CS_t,Unit_RPV,Unit_Fp,Unit_MFR,Unit_MA,Unit_Peak_Detection_t,Unit_Drift_TR,Unit_Drif_TR_t,Chunk,Chunk_Len,Chunk_Spikes,Chunk_Peaks_Wvf,Chunk_vs_Temp_CS,Chunk_vs_Temp_CS_t,Chunk_vs_Unit_CS,Chunk_vs_Unit_CS_t,Chunk_RPV,Chunk_Fp,Chunk_MFR,Chunk_MA,Chunk_Drift_TR,Chunk_Drift_TR_t
19-10-28_YC031,18,62,2289,4,0.44,0,132,10.08,3.29,15.93,11.98,0.98,1,6,"(360, 420)",145,4,0.32,0,0.95,1,2,1.9,4.15,17.11,1.0,1
19-10-28_YC031,18,62,2289,4,0.44,0,132,10.08,3.29,15.93,11.98,0.98,1,7,"(420, 480)",108,3,0.38,0,0.96,1,4,6.86,2.52,17.5,1.0,1
19-10-28_YC031,18,62,2289,4,0.44,0,132,10.08,3.29,15.93,11.98,0.98,1,8,"(480, 540)",138,5,0.37,0,0.97,1,9,9.45,4.3,17.05,1.0,1
19-10-28_YC031,18,62,2289,4,0.44,0,132,10.08,3.29,15.93,11.98,0.98,1,9,"(540, 600)",113,4,0.43,0,0.93,1,12,18.8,4.2,17.11,1.0,1
19-10-28_YC031,18,62,2289,4,0.44,0,132,10.08,3.29,15.93,11.98,0.98,1,10,"(600, 660)",92,4,0.3,0,0.93,1,9,21.27,3.14,17.53,1.0,1
19-10-28_YC031,18,62,2289,4,0.44,0,132,10.08,3.29,15.93,11.98,0.98,1,11,"(660, 720)",229,4,0.46,0,0.95,1,20,7.63,9.17,15.77,1.0,1
19-10-28_YC031,18,62,2289,4,0.44,0,132,10.08,3.29,15.93,11.98,0.98,1,12,"(720, 780)",106,3,0.39,0,0.95,1,14,24.92,2.88,16.38,1.0,1
19-10-28_YC031,18,62,2289,4,0.44,0,132,10.08,3.29,15.93,11.98,0.98,1,13,"(780, 840)",122,4,0.41,0,0.97,1,3,4.03,2.81,16.6,1.0,1
19-10-28_YC031,18,62,2289,4,0.44,0,132,10.08,3.29,15.93,11.98,0.98,1,14,"(840, 900)",122,4,0.54,0,0.96,1,10,13.44,3.73,14.66,0.97,1
19-10-28_YC031,18,62,2289,4,0.44,0,132,10.08,3.29,15.93,11.98,0.98,1,15,"(900, 960)",122,4,0.48,0,0.98,1,10,13.44,3.75,14.61,0.96,1
19-10-28_YC031,18,62,2289,4,0.44,0,132,10.08,3.29,15.93,11.98,0.98,1,16,"(960, 1020)",104,4,0.51,0,0.96,1,11,20.34,3.44,14.41,0.96,1
19-10-28_YC031,18,62,2289,4,0.44,0,132,10.08,3.29,15.93,11.98,0.98,1,17,"(1020, 1080)",97,5,0.5,0,0.95,1,2,4.25,3.23,13.94,0.93,1
19-10-28_YC031,18,62,2289,4,0.44,0,132,10.08,3.29,15.93,11.98,0.98,1,18,"(1080, 1140)",48,3,0.49,0,0.93,1,2,17.36,1.13,14.2,0.92,1
19-10-28_YC031,18,62,2289,4,0.44,0,132,10.08,3.29,15.93,11.98,0.98,1,19,"(1140, 1200)",85,3,0.45,0,0.93,1,5,13.84,2.59,13.95,0.91,1
19-10-28_YC031,208,62,1125,4,0.25,0,71,22.44,1.81,15.92,12.06,0.98,1,0,"(0, 60)",16,3,0.11,0,0.69,1,0,0.0,0.31,16.96,1.0,1
19-10-28_YC031,208,62,1125,4,0.25,0,71,22.44,1.81,15.92,12.06,0.98,1,1,"(60, 120)",39,4,0.16,0,0.72,1,0,0.0,1.42,16.46,1.0,1
19-10-28_YC031,208,62,1125,4,0.25,0,71,22.44,1.81,15.92,12.06,0.98,1,2,"(120, 180)",28,4,0.15,0,0.82,1,0,0.0,0.64,16.36,1.0,1
19-10-28_YC031,208,62,1125,4,0.25,0,71,22.44,1.81,15.92,12.06,0.98,1,3,"(180, 240)",39,4,0.14,0,0.85,1,0,0.0,1.31,16.37,1.0,1
19-10-28_YC031,208,62,1125,4,0.25,0,71,22.44,1.81,15.92,12.06,0.98,1,4,"(240, 300)",112,4,0.13,0,0.93,1,7,11.16,6.77,16.85,1.0,1
19-10-28_YC031,208,62,1125,4,0.25,0,71,22.44,1.81,15.92,12.06,0.98,1,5,"(300, 360)",53,5,0.15,0,0.88,1,2,14.24,1.62,17.67,1.0,1
19-10-28_YC031,208,62,1125,4,0.25,0,71,22.44,1.81,15.92,12.06,0.98,1,6,"(360, 420)",68,4,0.26,0,0.92,1,7,30.28,3.98,17.19,1.0,1
19-10-28_YC031,208,62,1125,4,0.25,0,71,22.44,1.81,15.92,12.06,0.98,1,7,"(420, 480)",38,3,0.18,0,0.83,1,3,41.55,1.2,17.02,1.0,1
19-10-28_YC031,208,62,1125,4,0.25,0,71,22.44,1.81,15.92,12.06,0.98,1,8,"(480, 540)",55,5,0.17,0,0.91,1,1,6.61,2.14,17.11,1.0,1
19-10-28_YC031,208,62,1125,4,0.25,0,71,22.44,1.81,15.92,12.06,0.98,1,9,"(540, 600)",80,4,0.07,0,0.93,1,7,21.88,2.46,17.02,1.0,1
19-10-28_YC031,208,62,1125,4,0.25,0,71,22.44,1.81,15.92,12.06,0.98,1,10,"(600, 660)",39,4,0.19,0,0.88,1,0,0.0,0.77,17.39,1.0,1
19-10-28_YC031,208,62,1125,4,0.25,0,71,22.44,1.81,15.92,12.06,0.98,1,11,"(660, 720)",115,4,0.26,0,0.97,1,9,13.61,12.2,16.14,1.0,1
19-10-28_YC031,208,62,1125,4,0.25,0,71,22.44,1.81,15.92,12.06,0.98,1,12,"(720, 780)",48,3,0.24,0,0.92,1,1,8.68,1.5,16.27,1.0,1
19-10-28_YC031,208,62,1125,4,0.25,0,71,22.44,1.81,15.92,12.06,0.98,1,13,"(780, 840)",100,5,0.28,0,0.96,1,9,18.0,16.1,16.02,0.99,1
19-10-28_YC031,208,62,1125,4,0.25,0,71,22.44,1.81,15.92,12.06,0.98,1,14,"(840, 900)",103,5,0.34,0,0.97,1,10,18.85,3.52,14.77,0.98,1
19-10-28_YC031,208,62,1125,4,0.25,0,71,22.44,1.81,15.92,12.06,0.98,1,15,"(900, 960)",24,4,0.24,0,0.9,1,1,34.72,0.85,14.19,0.95,1
19-10-28_YC031,208,62,1125,4,0.25,0,71,22.44,1.81,15.92,12.06,0.98,1,16,"(960, 1020)",27,3,0.35,0,0.89,1,0,0.0,0.63,14.94,0.99,1
19-10-28_YC031,208,62,1125,4,0.25,0,71,22.44,1.81,15.92,12.06,0.98,1,17,"(1020, 1080)",60,4,0.44,0,0.94,1,4,22.22,3.69,14.04,0.92,1
19-10-28_YC031,208,62,1125,4,0.25,0,71,22.44,1.81,15.92,12.06,0.98,1,18,"(1080, 1140)",42,2,0.19,0,0.93,1,2,22.68,1.22,14.24,0.96,1
19-10-28_YC031,208,62,1125,4,0.25,0,71,22.44,1.81,15.92,12.06,0.98,1,19,"(1140, 1200)",39,3,0.23,0,0.92,1,8,105.19,1.72,14.09,0.9,1
