Sample,SampleP,Unit,MFRBlockHz,MeanAmpBlock,ACGViolationRatio,tf_MIFRBlockHz,tf_MedIsi,tf_ModeIsi,tf_Perc5Isi,tf_Entropy,tf_CV2Mean,tf_CV2Median,tf_CV,tf_Ir,tf_Lv,tf_LvR,tf_Si,tf_skw,wf_RiseTime,wf_PosDecayTime,wf_FallTime,wf_NegDecayTime,wf_MaxAmpNorm,wf_Duration,wf_PosHwDuration,wf_NegHwDuration,wf_Onset,wf_End,wf_Crossing,wf_Pk10,wf_Pk90,wf_Pk50,wf_PkTrRatio,wf_DepolarizationSlope,wf_RepolarizationSlope,wf_RecoverySlope,wf_EndSlopeTau,Cluster_x,Cluster_y,SmallCluster,SmallClusterName,RespPk,RespGo,RespGr,RespMF,RespMLI,ClusterACG,Cluster,ClusterNo,NewCluster
19-09-30_YC018_probe1,19-09-30_YC018,730,138.52,15.68,0,150.698,0.007,0,0.004,6.855,0.199,0.136,0.321,0.203,0.058,11.16,0.004,1.519,0.083273721,0.147916585,0.180475049,0.222432083,0.29740596,0.4,0.558411082,0.27,-0.24637553,0.14449209,-0.004187492,0.029740596,0.267665362,0.148702979,0.297,-4.010801403,3.940468366,-0.410362685,0.453463466,1,NA,1,Purkinke,0,0,0,0,0,4,Pk,1,1
19-11-04_YC037_probe1,19-11-04_YC037,157,140.67,16.3,0,147.476,0.007,0,0.005,6.921,0.194,0.152,0.236,0.196,0.048,9.898,0.004,1.249,0.041082027,0.106792524,0.141604367,0.162489969,0.12150609,0.3,0.270295211,0.23,-0.08087245,0.009406135,-0.015045669,0.012150609,0.109355479,0.060753044,0.122,-4.643990945,4.436769267,-0.340009563,0.308506023,1,NA,1,Purkinke,0,0,0,0,0,4,Pk,1,1
18-12-17_YC009_probe1,18-12-17_YC009,635,170.54,23.41,0,195.84,0.005,0,0.003,5.454,0.234,0.132,0.528,0.243,0.092,19.169,0.007,3.865,0.069302372,0.146038331,0.119526972,0.152584519,0.3346498,0.33,0.419180707,0.2,-0.033899974,0.0902136,0.011914723,0.03346498,0.301184821,0.167324901,0.335,-5.452009239,4.941744415,-0.629029976,0.332914814,1,NA,1,Purkinke,0,0,0,0,0,4,Pk,1,1
19-10-22_YC022_probe1,19-10-22_YC022,270,93.34,9.98,0.02,124.693,0.008,0,0.004,6.734,0.509,0.443,0.629,0.549,0.304,41.304,0.026,1.601,0.055695134,0.123301661,0.109532505,0.150663279,0.34559804,0.3,0.371901158,0.2,-0.08480163,0.08793829,0.013804891,0.034559804,0.311038238,0.172799021,0.346,-4.967619145,5.81428423,-0.722047658,0.344430509,1,NA,1,Purkinke,0,0,0,0,0,4,Pk,1,1
19-08-14_YC016_probe2,19-08-14_YC016,437,102.04,24.73,0,114.108,0.009,0,0.006,7.038,0.303,0.25,0.352,0.311,0.109,16.955,0.008,1.039,0.058575662,0.134196956,0.090040282,0.107976165,0.33003628,0.27,0.350559545,0.13,-0.07876215,0.020198377,0.011348371,0.033003628,0.297032654,0.165018141,0.33,-7.358586026,7.523427054,-0.753295255,0.28258494,1,NA,1,Purkinke,0,0,0,0,0,4,Pk,1,1
19-10-03_YC019_probe1,19-10-03_YC019,71,81.01,11.79,0.03,98.924,0.01,0,0.006,6.967,0.467,0.408,0.497,0.495,0.247,30.318,0.02,1.358,0.063606065,0.218222196,0.143451022,0.194237776,0.16630864,0.47,0.977490446,0.2,-0.22659414,0.024352921,0.027986118,0.016630864,0.149677777,0.083154321,0.166,-5.548348029,3.530209956,-0.046164678,0.606025145,1,NA,1,Purkinke,0,0,0,0,0,5,Pk,1,1
18-12-17_YC009_probe1,18-12-17_YC009,519,73.16,24.7,0,95.654,0.012,0,0.005,6.96,0.445,0.383,0.558,0.47,0.227,26.508,0.018,1.31,0.084884482,0.159254085,0.114639782,0.138845231,0.39779952,0.33,0.36624646,0.24,-0.045215942,0.086731695,0.03740678,0.039779952,0.35801957,0.198899761,0.398,-3.73503648,5.024898334,-0.944925912,0.289563832,1,NA,1,Purkinke,0,0,0,0,0,5,Pk,1,1
19-10-02_YC020_probe1,19-10-02_YC020,88,57.79,13.22,0.04,77.256,0.016,0,0.006,6.894,0.406,0.331,0.535,0.429,0.201,22.073,0.017,1.315,0.043012533,0.08112985,0.070275393,0.107061314,0.4937711,0.2,0.167111378,0.14,-0.00645053,-0.0964001,-0.020411743,0.049377111,0.444393995,0.246885553,0.494,-9.612081341,9.686203774,-2.156032888,0.092353213,1,NA,1,Purkinke,0,0,0,0,0,5,Pk,1,1
18-12-17_YC010_probe1,18-12-17_YC010,144,97.28,12.08,0,123.544,0.009,0,0.004,6.961,0.497,0.446,0.519,0.53,0.274,44.589,0.023,1.294,0.065622781,0.112343657,0.096492778,0.142018451,0.55769575,0.27,0.30121747,0.2,-0.10368263,0.009868162,-0.020803858,0.055769575,0.501926172,0.278847873,0.558,-5.591680737,7.181871532,-1.399431039,0.187243758,1,NA,1,Purkinke,0,0,0,0,0,5,Pk,1,1
19-10-03_YC020_probe1,19-10-03_YC020,169,173.8,10.79,0.03,177.691,0.005,0,0.004,6.351,0.448,0.342,0.595,0.48,0.26,49.426,0.022,1.759,0.043569856,0.11653512,0.140444629,0.189732369,0.16494156,0.34,0.309054117,0.225398328,-0.17486526,0.009213016,-0.007812832,0.016494156,0.148447408,0.082470782,0.165,-3.585375349,4.917542247,-0.462456266,0.248533187,1,NA,1,Purkinke,0,0,0,0,0,4,Pk,1,1
19-10-23_YC022_probe1,19-10-23_YC022,142,36.64,14.49,0.01,43.003,0.028,0,0.015,6.757,0.243,0.166,0.26,0.255,0.097,9.532,0.008,-0.573,0.069443602,0.124577713,0.092354974,0.112680219,0.3998584,0.26,0.39858732,0.16,-0.05360721,0.12394394,0.019134603,0.039985839,0.359872547,0.199929193,0.4,-5.736167793,6.394151016,-0.78520679,0.366108154,1,NA,1,Purkinke,0,0,0,0,0,4,Pk,1,1
19-09-30_YC017_probe1,19-09-30_YC017,773,64.05,15.98,0,89.861,0.011,0,0.006,6.212,0.516,0.441,0.765,0.563,0.32,29.67,0.028,2.328,0.047729342,0.497694699,0.128926992,0.156158209,0.07141778,0.73,0.599513493,0.2,-0.15917115,0.006165276,0.036086821,0.007141778,0.064276001,0.035708889,0.071,-5.272042905,5.500467223,-0.100687369,-0.345058014,1,NA,1,Purkinke,0,0,0,0,0,4,Pk,1,1
18-08-31_YC004_probe1,18-08-31_YC004,60,39.19,17.01,0,49.895,0.022,0,0.01,7.066,0.517,0.463,0.513,0.554,0.295,19.084,0.025,1.177,0.281806822,0.316506163,0.104162554,0.117656452,0.11325822,0.5,0.568318023,0.16,-0.021798614,0.005180585,-0.002420611,0.011325822,0.101932398,0.05662911,0.113,-4.068672415,7.5961412,-0.139404328,0.380116877,1,NA,1,Purkinke,0,0,0,0,0,3,Pk,1,1
19-10-03_YC020_probe1,19-10-03_YC020,13,89.95,12.21,0.01,111.782,0.01,0,0.004,7.062,0.476,0.424,0.483,0.504,0.251,38.346,0.02,1.141,0.071552327,0.146876105,0.090152896,0.129396595,0.5880659,0.3,0.347016231,0.17,-0.033241034,0.1045257,0.03251593,0.058806592,0.52925933,0.294032961,0.588,-6.42675548,6.892681124,-1.262388207,0.254134398,1,NA,1,Purkinke,0,0,0,0,0,5,Pk,1,1
19-08-14_YC016_probe2,19-08-14_YC016,501,86.69,22.28,0.01,97.951,0.011,0,0.006,7.072,0.293,0.237,0.347,0.301,0.105,13.894,0.008,0.841,0.06062888,0.132664572,0.092806717,0.107366965,0.2682684,0.27,0.443613207,0.14,-0.14795145,0.01336306,0.043810322,0.026826841,0.241441566,0.134134203,0.268,-7.014246285,7.293618774,-0.508060619,0.427372953,1,NA,1,Purkinke,0,0,0,0,0,4,Pk,1,1
19-09-30_YC017_probe1,19-09-30_YC017,745,172.32,16.84,0,196.194,0.005,0,0.004,6.562,0.334,0.23,0.438,0.348,0.149,34.031,0.012,1.847,0.057514715,0.123816174,0.119780843,0.150263845,0.3002854,0.3,0.47912852,0.23,-0.11785045,0.12293947,-0.007285735,0.03002854,0.270256859,0.150142699,0.3,-4.393446151,5.326861411,-0.457294759,0.366418308,1,NA,1,Purkinke,0,0,0,0,0,4,Pk,1,1
19-08-14_YC015_probe1,19-08-14_YC015,97,170.76,11.27,0,190.371,0.005,0,0.004,5.76,0.222,0.12,0.494,0.23,0.087,17.506,0.007,3.251,0.056060778,0.151948107,0.1164419,0.156689213,0.2523697,0.34,0.40714257,0.2,-0.08930655,0.05760535,0.017415719,0.02523697,0.227132732,0.126184851,0.252,-6.308761285,4.642121181,-0.467142545,0.257358386,1,NA,1,Purkinke,0,0,0,0,0,4,Pk,1,1
19-08-14_YC016_probe2,19-08-14_YC016,68,57.16,11.45,0,80.166,0.014,0,0.006,7.014,0.603,0.556,0.612,0.66,0.391,37.483,0.034,1.273,0.067737875,0.130402824,0.085250769,0.11848744,0.6694818,0.27,0.317541214,0.17,-0.03262522,0.033693757,0.045324752,0.066948181,0.602533633,0.334740907,0.669,-5.702261627,8.405536228,-1.571232809,0.250912299,1,NA,1,Purkinke,0,0,0,0,0,5,Pk,1,1
19-10-03_YC020_probe1,19-10-03_YC020,144,84.4,24.34,0,101.109,0.011,0,0.005,6.468,0.328,0.239,0.479,0.342,0.143,17.713,0.011,1.881,0.041676244,0.090111192,0.104980672,0.128493297,0.22598454,0.24,0.339976674,0.17,-0.021714117,0.059517603,-0.022509922,0.022598454,0.203386089,0.112992272,0.226,-6.599782208,6.445226905,-0.492383358,0.299465856,1,NA,1,Purkinke,0,0,0,0,0,5,Pk,1,1
18-12-17_YC009_probe1,18-12-17_YC009,439,113.17,15.15,0,145.963,0.007,0,0.004,5.841,0.405,0.282,0.699,0.435,0.223,32.429,0.019,2.835,0.083300274,0.141656678,0.121496238,0.155526887,0.38316405,0.33,0.460387498,0.250820161,-0.12393443,0.021383299,0.004996949,0.038316405,0.344847643,0.191582024,0.383,-3.223484428,5.807291463,-0.642503701,0.425553598,1,NA,1,Purkinke,0,0,0,0,0,4,Pk,1,1
19-08-14_YC016_probe2,19-08-14_YC016,74,84.5,15.13,0,99.676,0.011,0,0.006,7.103,0.421,0.367,0.409,0.441,0.201,27.915,0.016,0.907,0.05,0.018680444,0.05,0.101138684,0.21004494,0.1,0.03,0.06,0.008370964,-0.015298715,0,0.021004494,0.189040442,0.105022468,0.21,-14.90413247,8.305897125,-0.590714334,0.209607708,1,NA,1,Purkinke,0,0,0,0,0,5,Pk,1,1
19-08-14_YC016_probe2,19-08-14_YC016,993,85.56,15.53,0,100.496,0.011,0,0.006,7.053,0.418,0.367,0.418,0.437,0.197,27.655,0.016,1.111,0.047548511,0.09157478,0.060006464,0.097351425,0.73545814,0.2,0.214462684,0.14,-0.011797714,0.03354828,-0.024624886,0.073545814,0.661912322,0.367729068,0.735,-10.84606607,9.860172963,-2.205359532,0.152890665,1,NA,1,Purkinke,0,0,0,0,0,5,Pk,1,1
