"Sample","SampleP","Unit","MFRBlockHz","MeanAmpBlock","ACGViolationRatio","tf_MIFRBlockHz","tf_MedIsi","tf_ModeIsi","tf_Perc5Isi","tf_Entropy","tf_CV2Mean","tf_CV2Median","tf_CV","tf_Ir","tf_Lv","tf_LvR","tf_Si","tf_skw","wf_RiseTime","wf_PosDecayTime","wf_FallTime","wf_NegDecayTime","wf_MaxAmpNorm","wf_Duration","wf_PosHwDuration","wf_NegHwDuration","wf_Onset","wf_End","wf_Crossing","wf_Pk10","wf_Pk90","wf_Pk50","wf_PkTrRatio","wf_DepolarizationSlope","wf_RepolarizationSlope","wf_RecoverySlope","wf_EndSlopeTau","Cluster_x","Cluster_y","SmallCluster","SmallClusterName","RespPk","RespGo","RespGr","RespMF","RespMLI","ClusterACG","Cluster","ClusterNo","NewCluster"
"18-08-30_YC001_probe1","18-08-30_YC001",163,1.41,17.56,0,2.696,0.614,1,0.111,7.192,0.813,0.768,0.683,0.969,0.685,2.637,0.069,0.842,0.247950042,0.382082419,0.316621171,0.375198865,0.30710143,0.83,0.464013529,0.43,-0.056389537,0.014537458,-0.023208251,0.030710143,0.276391286,0.153550714,0.307,-1.332808588,2.765285827,-1.001986557,0.156488989,3,NA,2,"Complex Spike",0,0,0,0,0,2,"CS",2,1
"18-08-30_YC001_probe1","18-08-30_YC001",193,0.81,13.16,0,2.476,0.771,7,0.114,5.924,0.893,0.935,0.989,1.121,0.831,2.474,0.091,1.825,0.048378426,0.095644781,0.094949206,0.114889015,0.2792074,0.23,0.206910773,0.1,-0.016766788,0.004841747,-0.001584844,0.027920741,0.251286668,0.139603704,0.279,-8.462776411,6.765414034,-0.844462521,0.147656552,3,NA,2,"Complex Spike",0,0,0,0,0,2,"CS",2,1
"18-08-30_YC001_probe1","18-08-30_YC001",20,1.22,20.29,0,2.319,0.7,1,0.132,7.212,0.832,0.82,0.686,0.992,0.71,2.401,0.071,0.741,0.165,0.095670306,0.122559052,0.220398148,0.41959164,0.33,0.2,0.46,0.014703613,-0.22677454,0.005355424,0.041959164,0.377632472,0.209795818,0.42,-5.386673344,1.688288149,0,0.263129907,3,NA,2,"Complex Spike",0,0,0,0,0,2,"CS",2,1
"18-08-30_YC001_probe1","18-08-30_YC001",230,1.49,23.78,0,2.608,0.577,2,0.129,7.221,0.774,0.74,0.657,0.904,0.623,2.4,0.061,0.78,0.438955895,0.491443802,0.134176865,0.15643738,0.50486624,0.7,0.775510995,0.17,-0.033703636,0.012825761,0.018819979,0.050486624,0.454379618,0.252433121,0.505,-4.431274211,3.928129908,-0.722830365,0.272905597,3,NA,2,"Complex Spike",0,0,0,0,0,2,"CS",2,1
"18-08-30_YC001_probe1","18-08-30_YC001",233,1.92,20.05,0,3.257,0.446,1,0.109,7.176,0.756,0.72,0.649,0.876,0.595,2.77,0.057,0.871,0.407696011,0.563610268,0.484665202,0.572048523,0.31079897,1.27,0.662676599,0.5,-0.07063722,0.046935767,0.0067973,0.031079897,0.279719076,0.155399486,0.311,-1.411629586,1.097332428,-0.60248773,0.246275984,3,NA,2,"Complex Spike",0,0,0,0,0,2,"CS",2,1
"18-08-30_YC001_probe1","18-08-30_YC001",234,1.47,25.5,0,2.4,0.595,2,0.147,7.23,0.742,0.697,0.614,0.859,0.584,2.161,0.056,0.695,0.243005113,0.476477937,0.534126815,0.617912523,0.15108879,1.23,0.889211171,0.47,-0.009255097,0.017204173,-0.0081077,0.015108879,0.13597991,0.075544395,0.151,-2.624295549,1.476476314,-0.166432351,0.945651396,3,NA,2,"Complex Spike",0,0,0,0,0,2,"CS",2,1
"18-08-30_YC001_probe1","18-08-30_YC001",235,1.08,29.28,0,1.843,0.786,5,0.181,7.111,0.782,0.777,0.657,0.908,0.627,1.889,0.06,0.843,0.347684235,0.527783021,0.44362482,0.5567839,0.23198946,1.23,0.616382558,0.47,-0.020614969,0.04171791,0.019721549,0.023198946,0.208790512,0.115994729,0.232,-2.885625897,1.644253036,-0.636097041,0.310692009,3,NA,2,"Complex Spike",0,0,0,0,0,2,"CS",2,1
"18-08-30_YC001_probe1","18-08-30_YC001",238,1.41,20.47,0,2.321,0.613,2,0.151,7.211,0.756,0.712,0.627,0.876,0.596,2.144,0.057,0.786,0.446364552,0.44806754,0.485479776,0.595348661,0.21377666,1.23,0.432695997,0.44,-0.018244991,0.041120995,-0.011127842,0.021377666,0.192398997,0.106888331,0.214,-2.090828631,1.855130404,-0.602663072,0.572142584,3,NA,2,"Complex Spike",0,0,0,0,0,2,"CS",2,1
"18-08-30_YC001_probe1","18-08-30_YC001",239,1.58,16.68,0,2.905,0.513,1,0.114,7.111,0.797,0.762,0.71,0.936,0.651,2.637,0.064,0.956,0.248038911,0.452446569,0.427282103,0.538623752,0.25073117,1.1,0.713938565,0.47,-0.020961419,0.012346014,0.020277703,0.025073117,0.225658053,0.125365585,0.251,-1.818226271,1.819070468,-0.377469994,0.35313304,3,NA,2,"Complex Spike",0,0,0,0,0,2,"CS",2,1
"18-08-30_YC001_probe1","18-08-30_YC001",240,1.54,29.5,0,2.583,0.544,2,0.137,7.204,0.77,0.749,0.653,0.889,0.606,2.33,0.058,0.822,0.547235025,0.72396975,0.462694537,0.547986568,0.23828252,1.47,0.734724453,0.5,-0.05560158,0.072878994,0.022233621,0.023828252,0.214454265,0.119141258,0.238,-1.264364966,1.501323465,-0.476432701,0.218493426,3,NA,2,"Complex Spike",0,0,0,0,0,2,"CS",2,1
