"Sample","SampleP","Unit","MFRBlockHz","MeanAmpBlock","ACGViolationRatio","tf_MIFRBlockHz","tf_MedIsi","tf_ModeIsi","tf_Perc5Isi","tf_Entropy","tf_CV2Mean","tf_CV2Median","tf_CV","tf_Ir","tf_Lv","tf_LvR","tf_Si","tf_skw","wf_RiseTime","wf_PosDecayTime","wf_FallTime","wf_NegDecayTime","wf_MaxAmpNorm","wf_Duration","wf_PosHwDuration","wf_NegHwDuration","wf_Onset","wf_End","wf_Crossing","wf_Pk10","wf_Pk90","wf_Pk50","wf_PkTrRatio","wf_DepolarizationSlope","wf_RepolarizationSlope","wf_RecoverySlope","wf_EndSlopeTau","Cluster_x","Cluster_y","SmallCluster","SmallClusterName","RespPk","RespGo","RespGr","RespMF","RespMLI","ClusterACG","Cluster","ClusterNo","NewCluster"
"18-08-30_YC001_probe1","18-08-30_YC001",241,23.35,15.95,0,35.064,0.033,0,0.012,6.899,0.62,0.558,0.689,0.688,0.42,16.726,0.037,1.464,0.106375212,0.13840185,0.257801849,0.292531951,0.72485316,0.46,0.330559424,0.3,-0.058918707,0.08126733,0.042153268,0.072485316,0.652367842,0.362426579,0.725,-7.340976866,3.914088707,-1.682025978,0.222135364,1,NA,1,"Purkinke",0,0,0,0,0,3,"MLI",3,1
"18-08-30_YC001_probe1","18-08-30_YC001",258,14.97,14.1,0,29.004,0.049,0,0.012,6.624,0.738,0.692,0.84,0.853,0.576,17.273,0.055,1.564,0.133865742,0.188146737,0.184915097,0.245071125,0.7684324,0.46,0.376213149,0.3,-0.06301388,0.10621377,-0.0058633,0.076843238,0.691589141,0.384216189,0.768,-3.988521469,4.542030852,-1.642613671,0.230931102,2,1,3,"Potentially MLI",0,0,0,0,0,3,"MLI",3,1
"18-08-30_YC001_probe1","18-08-30_YC001",288,18.64,30.01,0,24.587,0.048,0,0.018,7.182,0.48,0.425,0.517,0.51,0.258,8.673,0.021,0.941,0.153140763,0.183053377,0.187435398,0.219661275,0.40413126,0.53,0.313996565,0.17,-0.06727548,0.018921854,-0.059543965,0.040413126,0.363718137,0.202065632,0.404,-7.14336319,5.905396903,-0.943181625,0.220062039,1,NA,1,"Purkinke",0,0,0,0,0,1,"MLI",3,1
"18-08-30_YC001_probe1","18-08-30_YC001",291,16,16.76,0,52.655,0.033,0,0.005,6.099,0.965,0.978,1.18,1.245,0.927,37.243,0.107,2.203,0.028560114,0.050407391,0.05682234,0.066089123,0.2761925,0.13,0.121897611,0.105,-0.014664112,-0.015948553,-0.070628946,0.027619249,0.248573238,0.138096243,0.276,-8.316711275,12.11389273,-0.988706149,0.091605013,2,3,5,"Go + MF",0,0,0,0,0,5,"MLI",3,4
"18-08-30_YC001_probe1","18-08-30_YC001",292,11.64,17.63,0,22.088,0.067,0,0.014,6.977,0.661,0.605,0.755,0.744,0.471,12.547,0.043,1.274,0.07,0.077017061,0.14,0.14,0.5018299,0.14,0.1,0.14,0.029320724,0.010662997,-0.035203215,0.050182992,0.45164693,0.250914961,0.502,-10.36997693,7.09553768,-0.711016836,0.07104866,2,1,3,"Potentially MLI",0,0,0,0,0,3,"MLI",3,1
"18-08-30_YC001_probe1","18-08-30_YC001",302,11.77,16.02,0,24.022,0.063,0,0.014,6.839,0.676,0.623,0.828,0.764,0.489,13.386,0.045,1.425,0.07,0.066655116,0.14,0.14,0.4014059,0.14,0.1,0.14,0.021102168,-0.041589107,-0.01284612,0.04014059,0.361265311,0.20070295,0.401,-10.47740923,5.467600493,-0.612338122,0.089776499,2,1,3,"Potentially MLI",0,0,0,0,0,3,"MLI",3,1
"18-08-30_YC001_probe1","18-08-30_YC001",369,27.51,17.5,0,41.965,0.03,0,0.009,6.623,0.513,0.432,0.686,0.561,0.309,16.924,0.027,1.869,0.032239398,0.04752569,0.061405419,0.070297988,0.28373668,0.13,0.169106574,0.105,-0.009025234,0.022701556,-0.06730749,0.028373668,0.255363008,0.141868338,0.284,-8.019740451,11.83402043,-0.917588852,0.146448901,1,NA,1,"Purkinke",0,0,0,0,0,3,"MLI",3,1
"18-08-30_YC001_probe1","18-08-30_YC001",399,15.01,15.92,0,22.644,0.055,0,0.018,7.053,0.505,0.438,0.643,0.543,0.29,8.559,0.024,1.154,0.152312496,0.203172132,0.206424737,0.254678339,0.5806905,0.5,0.365330611,0.23,-0.05621623,0.0602529,-0.007320325,0.05806905,0.522621453,0.290345252,0.581,-7.057842811,3.613108301,-1.330756794,0.218140136,1,NA,1,"Purkinke",0,0,0,0,0,1,"MLI",3,1
"18-08-30_YC001_probe1","18-08-30_YC001",45,24.47,16.59,0,33.405,0.037,0,0.013,7.173,0.579,0.526,0.528,0.632,0.367,16.792,0.032,0.872,0.03622965,0.082408879,0.07786757,0.098827388,0.23742056,0.2,0.213654955,0.14,-0.011805772,0.01896578,-0.025690802,0.023742056,0.213678503,0.118710279,0.237,-8.25207542,8.079571389,-0.63207353,0.170229904,1,NA,1,"Purkinke",0,0,0,0,0,3,"MLI",3,1
"18-08-30_YC001_probe1","18-08-30_YC001",46,12.06,14.04,0,16.952,0.068,0,0.027,6.948,0.61,0.564,0.617,0.67,0.399,8.421,0.035,1.34,0.104678996,0.266106,0.144677797,0.192157989,0.3846808,0.5,0.467310207,0.2,-0.06120862,0.028574135,0.040843092,0.038468081,0.346212727,0.192340404,0.385,-6.218605992,4.842782688,-0.872175032,0.204949846,2,1,3,"Potentially MLI",0,0,0,0,0,1,"MLI",3,1
"18-08-30_YC001_probe1","18-08-30_YC001",48,7.33,14.09,0,38.165,0.055,0,0.007,5.999,1.076,1.13,1.276,1.478,1.12,27.626,0.142,1.863,0.051885008,0.094392162,0.072542684,0.091620739,0.5731086,0.2,0.250247249,0.13,-0.028391065,0.041633967,-0.014992451,0.057310861,0.515797752,0.286554307,0.573,-7.525660223,10.08592296,-1.66746623,0.185417834,2,3,5,"Go + MF",0,0,0,0,0,5,"MLI",3,4
"18-08-30_YC001_probe1","18-08-30_YC001",70,10.27,15.99,0.01,25.183,0.065,0,0.012,6.867,0.838,0.815,0.913,1.007,0.72,17.094,0.074,1.362,0.132754322,0.187440948,0.18432196,0.210975914,0.45285395,0.43,0.341556421,0.17,-0.044066828,0.05566897,-0.010794694,0.045285395,0.407568553,0.226426974,0.453,-7.23119328,3.76929001,-1.139730342,0.222141528,2,1,3,"Potentially MLI",0,0,0,0,0,3,"MLI",3,1
