"Sample","SampleP","Unit","MFRBlockHz","MeanAmpBlock","ACGViolationRatio","tf_MIFRBlockHz","tf_MedIsi","tf_ModeIsi","tf_Perc5Isi","tf_Entropy","tf_CV2Mean","tf_CV2Median","tf_CV","tf_Ir","tf_Lv","tf_LvR","tf_Si","tf_skw","wf_RiseTime","wf_PosDecayTime","wf_FallTime","wf_NegDecayTime","wf_MaxAmpNorm","wf_Duration","wf_PosHwDuration","wf_NegHwDuration","wf_Onset","wf_End","wf_Crossing","wf_Pk10","wf_Pk90","wf_Pk50","wf_PkTrRatio","wf_DepolarizationSlope","wf_RepolarizationSlope","wf_RecoverySlope","wf_EndSlopeTau","Cluster_x","Cluster_y","SmallCluster","SmallClusterName","RespPk","RespGo","RespGr","RespMF","RespMLI","ClusterACG","Cluster","ClusterNo","NewCluster"
"18-08-30_YC001_probe1","18-08-30_YC001",357,184.93,15.82,0,206.079,0.005,0,0.004,6.385,0.282,0.188,0.407,0.292,0.112,27.193,0.009,2.123,0.064749515,0.122840568,0.114090166,0.149794689,0.35483396,0.3,0.510367182,0.2,-0.09289535,0.16121045,0.009958472,0.035483396,0.319350564,0.17741698,0.355,-4.370394478,5.65104424,-0.547344692,0.479191146,1,NA,1,"Purkinke",0,0,0,0,0,4,"Pk",1,2
"18-08-30_YC001_probe1","18-08-30_YC001",358,139.05,22.39,0,161.29,0.006,0,0.004,6.557,0.333,0.253,0.47,0.347,0.143,26.856,0.011,1.978,0.095878508,0.147849816,0.217937114,0.280227953,0.4148983,0.46,0.418310001,0.27,-0.07748617,0.1408423,-0.001945002,0.041489831,0.373408476,0.207449153,0.415,-6.755768829,3.700393988,-0.726620798,0.391667851,1,NA,1,"Purkinke",0,0,0,0,0,4,"Pk",1,2
"18-08-30_YC001_probe1","18-08-30_YC001",359,177.94,14.89,0,201.372,0.005,0,0.004,5.831,0.259,0.122,0.475,0.272,0.119,25.794,0.01,2.83,0.063066251,0.12632289,0.136493791,0.173918591,0.27413216,0.33,0.377136463,0.17,-0.01289964,0.059698083,-0.009871819,0.027413216,0.246718946,0.137066081,0.274,-6.477055146,4.720799416,-0.537698663,0.270122063,1,NA,1,"Purkinke",0,0,0,0,0,4,"Pk",1,2
"18-08-30_YC001_probe1","18-08-30_YC001",362,61.61,26.1,0,69.156,0.015,0,0.009,7.205,0.335,0.289,0.348,0.345,0.129,12.743,0.01,0.817,0.045413824,0.104577322,0.089888651,0.111043264,0.38791546,0.23,0.368127249,0.16,-0.037625153,0.08951812,-0.010636363,0.038791546,0.349123916,0.193957731,0.388,-5.661673536,7.657711074,-0.813218774,0.315041391,1,NA,1,"Purkinke",0,0,0,0,0,3,"Pk",1,3
"18-08-30_YC001_probe1","18-08-30_YC001",376,101.95,15.22,0.01,120.734,0.008,0,0.005,6.857,0.419,0.353,0.47,0.441,0.205,30.414,0.016,1.468,0.093286956,0.194542284,0.174291567,0.292309231,0.3638236,0.53,0.55347436,0.33,-0.13843064,0.16097927,0.032754955,0.036382359,0.327441233,0.181911796,0.364,-6.076357758,3.308849602,-0.582659425,0.45908966,1,NA,1,"Purkinke",1,0,0,0,0,4,"Pk",1,1
"18-08-30_YC001_probe1","18-08-30_YC001",377,34.64,13.7,0.01,55.536,0.023,0,0.007,6.613,0.63,0.567,0.732,0.703,0.433,29.141,0.039,1.776,0.035,0.016503048,0.07,0.07,0.31525496,0.07,0.03,0.07,0.020793123,-0.01262787,0,0.031525496,0.283729461,0.157627478,0.315,-19.10283168,8.571760037,-1.127925319,0.140235544,1,NA,1,"Purkinke",0,0,0,0,0,3,"Pk",1,1
"18-08-30_YC001_probe1","18-08-30_YC001",54,137.18,20.14,0,159.29,0.006,0,0.004,6.659,0.325,0.239,0.46,0.338,0.139,25.737,0.011,1.792,0.046536492,0.105073037,0.097394043,0.133559053,0.31740955,0.26,0.39015609,0.17,-0.010799056,0.09418306,0.006488893,0.031740955,0.285668591,0.158704773,0.317,-6.903119398,6.409294731,-0.61823521,0.355031401,1,NA,1,"Purkinke",0,0,0,0,0,4,"Pk",1,2
"18-08-30_YC001_probe1","18-08-30_YC001",565,167.26,15.3,0,191.832,0.005,0,0.004,5.502,0.235,0.098,0.537,0.248,0.112,21.519,0.009,3.526,0.085,0.067888442,0.17,0.17,0.23838899,0.17,0.085,0.17,0.013738899,0.026186131,0.046580508,0.023838899,0.214550087,0.119194493,0.238,-8.457058151,4.966845765,-0.167609514,0.101540343,1,NA,1,"Purkinke",0,0,0,0,0,4,"Pk",1,2
"18-08-30_YC001_probe1","18-08-30_YC001",83,35.17,17.27,0,47.65,0.025,0,0.009,6.992,0.483,0.421,0.564,0.515,0.264,17.051,0.022,1.288,0.09415906,0.184739822,0.15471043,0.194529636,0.57678306,0.4,0.37718844,0.2,-0.031016307,0.06931032,-0.033001529,0.057678306,0.519104755,0.288391531,0.577,-7.054091862,4.976716342,-1.218256969,0.227696631,1,NA,1,"Purkinke",0,0,0,0,0,3,"Pk",1,3
"18-08-30_YC002_probe1","18-08-30_YC002",111,84.76,17.9,0,103.319,0.01,0,0.006,6.937,0.482,0.426,0.496,0.512,0.259,32.95,0.021,1.366,0.037569966,0.094492852,0.068357823,0.090441194,0.41136456,0.2,0.17039931,0.1,-0.00697946,-0.003680074,-0.001948465,0.041136456,0.3702281,0.205682278,0.411,-8.503203251,9.640270485,-1.410513484,0.106990747,1,NA,1,"Purkinke",0,0,0,0,0,5,"Pk",1,1
