"Sample","SampleP","Unit","MFRBlockHz","MeanAmpBlock","ACGViolationRatio","tf_MIFRBlockHz","tf_MedIsi","tf_ModeIsi","tf_Perc5Isi","tf_Entropy","tf_CV2Mean","tf_CV2Median","tf_CV","tf_Ir","tf_Lv","tf_LvR","tf_Si","tf_skw","wf_RiseTime","wf_PosDecayTime","wf_FallTime","wf_NegDecayTime","wf_MaxAmpNorm","wf_Duration","wf_PosHwDuration","wf_NegHwDuration","wf_Onset","wf_End","wf_Crossing","wf_Pk10","wf_Pk90","wf_Pk50","wf_PkTrRatio","wf_DepolarizationSlope","wf_RepolarizationSlope","wf_RecoverySlope","wf_EndSlopeTau","Cluster_x","Cluster_y","SmallCluster","SmallClusterName","RespPk","RespGo","RespGr","RespMF","RespMLI","ClusterACG","Cluster","ClusterNo"
"18-08-30_YC002_probe1","18-08-30_YC002",205,69.28,14.08,0,67.408,0.016,0,0.007,6.11,0.601,0.533,0.925,0.666,0.402,28.099,0.036,2.459,0.05510948,0.127681194,0.111509049,0.14309677,0.26253814,0.3,0.842664005,0.2,-0.11471519,0.021629008,0.017508539,0.026253814,0.236284322,0.131269068,0.263,-4.963141397,5.296604548,-0.221204518,0.606165711,1,NA,1,"Purkinke",0,0,0,0,0,5,"Pk",1
"18-08-30_YC002_probe1","18-08-30_YC002",210,72.89,14.27,0,91.217,0.011,0,0.006,6.768,0.485,0.417,0.547,0.518,0.268,29.097,0.022,1.605,0.075225979,0.118346785,0.148986115,0.189308193,0.34139982,0.33,0.50081584,0.23,-0.12835716,0.15410687,-0.026974779,0.034139982,0.307259837,0.170699909,0.341,-6.247678219,4.860842817,-0.51424922,0.447238031,1,NA,1,"Purkinke",0,0,0,0,0,4,"Pk",1
"18-08-30_YC002_probe1","18-08-30_YC002",31,22.14,14.1,0.01,30.69,0.036,0,0.016,6.742,0.386,0.311,0.646,0.405,0.181,6.766,0.015,1.672,0.056364894,0.09631619,0.076828562,0.084988965,0.27211764,0.2,0.250829308,0.1,-0.014384797,0.001214605,0.00374632,0.027211764,0.24490588,0.136058822,0.272,-10.47175795,7.457698124,-0.763933968,0.175291315,1,NA,1,"Purkinke",0,0,0,0,0,3,"Pk",1
"18-08-31_YC003_probe1","18-08-31_YC003",201,87.02,22.3,0,110.641,0.008,0,0.006,6.379,0.453,0.35,0.609,0.486,0.259,30.123,0.022,1.849,0.070558624,0.139887537,0.119912923,0.16013823,0.3997424,0.33,0.51201618,0.3,-0.076480746,0.17579995,0.006927857,0.039974239,0.359768155,0.199871197,0.4,-2.050598685,5.271427989,-0.571272504,0.461487744,1,NA,1,"Purkinke",0,0,0,0,0,4,"Pk",1
"18-08-31_YC003_probe1","18-08-31_YC003",231,87.62,16.26,0,111.19,0.009,0,0.006,5.916,0.374,0.263,0.671,0.397,0.19,21.559,0.016,2.72,0.036753373,0.081889368,0.078016258,0.102611569,0.30670217,0.2,0.275630685,0.1,-0.012035763,0.04952898,-0.020925818,0.030670217,0.27603195,0.153351083,0.307,-7.893203088,8.580791125,-0.72813506,0.25291768,1,NA,1,"Purkinke",0,0,0,0,0,4,"Pk",1
"18-08-31_YC003_probe1","18-08-31_YC003",257,70.98,16.38,0.01,84.616,0.012,0,0.008,6.126,0.375,0.292,0.547,0.394,0.177,17.329,0.014,2.595,0.102454227,0.156806743,0.181175698,0.216884814,0.37832737,0.4,0.388033608,0.23,-0.07458551,0.10597209,-0.016271292,0.037832737,0.340494633,0.189163685,0.378,-6.333750217,4.049827615,-0.724145826,0.331608982,1,NA,1,"Purkinke",0,0,0,0,0,4,"Pk",1
"18-08-31_YC003_probe1","18-08-31_YC003",485,52.91,14.21,0.02,70.409,0.015,0,0.008,6.421,0.514,0.448,0.643,0.554,0.301,24.129,0.025,1.954,0.065902187,0.113325229,0.106030485,0.122492315,0.3017676,0.26,0.447405263,0.16,-0.062193267,0.113265686,0.004136274,0.030176759,0.271590829,0.150883794,0.302,-5.072625238,5.833049116,-0.53886955,0.392037028,1,NA,1,"Purkinke",0,0,0,0,0,5,"Pk",1
"18-08-31_YC003_probe1","18-08-31_YC003",57,33.01,21.97,0,54.183,0.025,0,0.007,6.956,0.643,0.575,0.697,0.724,0.453,29.512,0.042,1.352,0.040460307,0.074885321,0.05913864,0.07189221,0.5091494,0.16,0.207439555,0.16,0.010652836,0.015840404,-0.010596542,0.050914937,0.458234435,0.254574686,0.509,-9.901941876,11.87478374,-1.627340935,0.148259399,1,NA,1,"Purkinke",0,0,0,0,0,5,"Pk",1
"18-08-31_YC004_probe1","18-08-31_YC004",128,148.15,22.8,0,158.832,0.006,0,0.005,6.731,0.243,0.185,0.301,0.248,0.076,15.956,0.006,1.612,0.054522892,0.10692519,0.086968034,0.10347293,0.41807136,0.23,0.381957119,0.17,-0.042700756,0.11857756,0.012902112,0.041807136,0.376264223,0.20903568,0.418,-5.699127105,7.516235344,-0.862135169,0.362733445,1,NA,1,"Purkinke",0,0,0,0,0,4,"Pk",1
"18-09-03_YC005_probe1","18-09-03_YC005",177,160.95,15.34,0,184.27,0.005,0,0.004,6.442,0.272,0.19,0.442,0.281,0.105,22.191,0.008,2.111,0.073430848,0.140441111,0.110046284,0.131464627,0.35101914,0.3,0.461628131,0.23,-0.104065776,0.14261554,0.015810335,0.035101914,0.31591723,0.175509572,0.351,-2.373093058,5.474618972,-0.600841702,0.430606215,1,NA,1,"Purkinke",0,0,0,0,0,4,"Pk",1
