Sample,SampleP,Unit,MFRBlockHz,MeanAmpBlock,ACGViolationRatio,tf_MIFRBlockHz,tf_MedIsi,tf_ModeIsi,tf_Perc5Isi,tf_Entropy,tf_CV2Mean,tf_CV2Median,tf_CV,tf_Ir,tf_Lv,tf_LvR,tf_Si,tf_skw,wf_RiseTime,wf_PosDecayTime,wf_FallTime,wf_NegDecayTime,wf_MaxAmpNorm,wf_Duration,wf_PosHwDuration,wf_NegHwDuration,wf_Onset,wf_End,wf_Crossing,wf_Pk10,wf_Pk90,wf_Pk50,wf_PkTrRatio,wf_DepolarizationSlope,wf_RepolarizationSlope,wf_RecoverySlope,wf_EndSlopeTau,SmallCluster,SmallClusterName,RespPk,RespGo,RespGr,RespMF,RespMLI,ClusterNo,NewCluster,SubCluster,Label
18-08-30_YC001_probe1,18-08-30_YC001,315,49.26,26.12,0.0,54.313,0.019,0,0.012,7.085,0.309,0.266,0.324,0.317,0.111,8.796,0.008,0.932,0.08442101800000001,0.141719274,0.10284338900000001,0.12757161,0.41815943,0.3,0.405809366,0.16,-0.053172484000000006,0.13438249,0.025639022,0.041815943,0.376343483,0.209079713,0.418,-4.9212011030000005,5.699197517000001,-0.781831814,0.366526398,1.0,Purkinke,1,0,0,0,0,1,3,Pk,1
18-08-30_YC001_probe1,18-08-30_YC001,357,184.93,15.82,0.0,206.079,0.005,0,0.004,6.385,0.282,0.188,0.40700000000000003,0.292,0.11199999999999999,27.193,0.009000000000000001,2.123,0.064749515,0.12284056800000001,0.11409016599999999,0.149794689,0.35483396,0.3,0.510367182,0.2,-0.09289535,0.16121045,0.009958472,0.035483396,0.319350564,0.17741698,0.355,-4.370394478,5.65104424,-0.547344692,0.479191146,1.0,Purkinke,0,0,0,0,0,1,2,Pk,1
18-08-30_YC001_probe1,18-08-30_YC001,358,139.05,22.39,0.0,161.29,0.006,0,0.004,6.557,0.33299999999999996,0.253,0.47,0.34700000000000003,0.14300000000000002,26.855999999999998,0.011000000000000001,1.9780000000000002,0.095878508,0.147849816,0.217937114,0.28022795300000003,0.4148983,0.46,0.41831000100000004,0.27,-0.07748617,0.14084229999999998,-0.0019450020000000001,0.041489831,0.373408476,0.207449153,0.415,-6.755768829,3.700393988,-0.726620798,0.391667851,1.0,Purkinke,0,0,0,0,0,1,2,Pk,1
18-08-30_YC001_probe1,18-08-30_YC001,359,177.94,14.89,0.0,201.372,0.005,0,0.004,5.831,0.259,0.122,0.475,0.272,0.11900000000000001,25.794,0.01,2.83,0.06306625099999999,0.12632289,0.136493791,0.173918591,0.27413216,0.33,0.377136463,0.17,-0.01289964,0.059698083,-0.009871819,0.027413216,0.24671894600000002,0.137066081,0.27399999999999997,-6.4770551460000005,4.720799416,-0.537698663,0.270122063,1.0,Purkinke,0,0,0,0,0,1,2,Pk,1
18-08-30_YC001_probe1,18-08-30_YC001,362,61.61,26.1,0.0,69.156,0.015,0,0.009000000000000001,7.205,0.335,0.289,0.348,0.345,0.129,12.743,0.01,0.8170000000000001,0.045413824000000005,0.10457732199999999,0.089888651,0.111043264,0.38791546,0.23,0.368127249,0.16,-0.037625153,0.08951812,-0.010636363000000001,0.038791546,0.34912391600000003,0.19395773100000002,0.38799999999999996,-5.661673536,7.657711074,-0.8132187740000001,0.315041391,1.0,Purkinke,0,0,0,0,0,1,3,Pk,1
18-08-30_YC001_probe1,18-08-30_YC001,376,101.95,15.22,0.01,120.734,0.008,0,0.005,6.857,0.419,0.353,0.47,0.441,0.205,30.414,0.016,1.4680000000000002,0.09328695599999999,0.19454228399999998,0.17429156699999998,0.292309231,0.36382359999999997,0.53,0.55347436,0.33,-0.13843064,0.16097927,0.032754955,0.036382358999999996,0.327441233,0.18191179600000001,0.364,-6.076357757999999,3.308849602,-0.582659425,0.45908966,1.0,Purkinke,1,0,0,0,0,1,1,Pk,1
18-08-30_YC001_probe1,18-08-30_YC001,377,34.64,13.7,0.01,55.536,0.023,0,0.006999999999999999,6.6129999999999995,0.63,0.5670000000000001,0.732,0.703,0.433,29.141,0.039,1.776,0.035,0.016503048,0.07,0.07,0.31525496,0.07,0.03,0.07,0.020793123,-0.01262787,0.0,0.031525496,0.283729461,0.15762747800000002,0.315,-19.10283168,8.571760037,-1.127925319,0.14023554400000002,1.0,Purkinke,0,0,0,0,0,1,1,Pk,1
18-08-30_YC001_probe1,18-08-30_YC001,54,137.18,20.14,0.0,159.29,0.006,0,0.004,6.659,0.325,0.239,0.46,0.33799999999999997,0.139,25.737,0.011000000000000001,1.7919999999999998,0.046536492,0.105073037,0.09739404300000001,0.133559053,0.31740955,0.26,0.39015609,0.17,-0.010799056000000001,0.09418306,0.006488893000000001,0.031740955,0.285668591,0.15870477300000002,0.317,-6.903119397999999,6.409294731,-0.61823521,0.355031401,1.0,Purkinke,0,0,0,0,0,1,2,Pk,1
18-08-30_YC001_probe1,18-08-30_YC001,565,167.26,15.3,0.0,191.832,0.005,0,0.004,5.502000000000001,0.235,0.098,0.537,0.248,0.11199999999999999,21.519000000000002,0.009000000000000001,3.5260000000000002,0.085,0.06788844200000001,0.17,0.17,0.23838899,0.17,0.085,0.17,0.013738898999999999,0.026186131,0.046580508,0.023838899,0.214550087,0.11919449300000001,0.23800000000000002,-8.457058151,4.966845765,-0.16760951400000001,0.101540343,1.0,Purkinke,0,0,0,0,0,1,2,Pk,1
18-08-30_YC001_probe1,18-08-30_YC001,83,35.17,17.27,0.0,47.65,0.025,0,0.009000000000000001,6.992000000000001,0.483,0.42100000000000004,0.564,0.515,0.264,17.051,0.022000000000000002,1.288,0.09415906,0.184739822,0.15471043,0.194529636,0.57678306,0.4,0.37718844,0.2,-0.031016307000000003,0.06931032,-0.033001529,0.057678306,0.519104755,0.28839153100000003,0.5770000000000001,-7.054091862000001,4.976716342,-1.218256969,0.227696631,1.0,Purkinke,0,0,0,0,0,1,3,Pk,1
18-08-30_YC002_probe1,18-08-30_YC002,111,84.76,17.9,0.0,103.319,0.01,0,0.006,6.937,0.48200000000000004,0.426,0.496,0.512,0.259,32.95,0.021,1.3659999999999999,0.037569966,0.09449285199999999,0.068357823,0.090441194,0.41136456,0.2,0.17039931,0.1,-0.00697946,-0.003680074,-0.001948465,0.041136456,0.3702281,0.205682278,0.41100000000000003,-8.503203251,9.640270485,-1.410513484,0.106990747,1.0,Purkinke,0,0,0,0,0,1,1,Pk,1
