Sample,Unit,Unit_Peak_Ch,Unit_Spikes,Unit_Spikes_dummy,Unit_Wvf_Peaks,Unit_Wvf_Peaks_dummy,Unit_Biggest_Peak,Unit_vs_Temp_CS,Unit_vs_Temp_CS_dummy,Unit_RPV,Unit_Fp,Unit_Fp_dummy,Unit_MFR,Unit_MeanAmp,Unit_MinAmp,Unit_Missing_Spikes,Unit_Missing_Spikes_dummy,Chunk,Chunk_Len,Chunk_Spikes,Chunk_Wvf_Peaks,Chunk_Wvf_Peaks_dummy,Chunk_Biggest_Peak,Chunk_vs_Temp_CS,Chunk_vs_Temp_CS_dummy,Chunk_vs_Unit_CS,Chunk_vs_Unit_CS_dummy,Chunk_RPV,Chunk_Fp,Chunk_MFR,Chunk_MA,Chunk_Missing_Spikes,Chunk_Missing_Spikes_dummy
19-01-16_YC011,83,176,2279,1,1,1,1,0.97,1,0,0,1,2.0,28.31,19.48527545928955,0,1,0,"(0, 60)",105,3,1,1,0.97,1,1.0,1,0,0,1.83,29.48,15,1
19-01-16_YC011,83,176,2279,1,1,1,1,0.97,1,0,0,1,2.0,28.31,19.48527545928955,0,1,1,"(60, 120)",123,3,1,1,0.96,1,1.0,1,0,0,2.19,28.38,1,1
19-01-16_YC011,83,176,2279,1,1,1,1,0.97,1,0,0,1,2.0,28.31,19.48527545928955,0,1,2,"(120, 180)",126,1,1,1,0.96,1,1.0,1,0,0,2.21,28.19,4,1
19-01-16_YC011,83,176,2279,1,1,1,1,0.97,1,0,0,1,2.0,28.31,19.48527545928955,0,1,3,"(180, 240)",114,1,1,1,0.97,1,1.0,1,0,0,1.97,28.45,6,1
19-01-16_YC011,83,176,2279,1,1,1,1,0.97,1,0,0,1,2.0,28.31,19.48527545928955,0,1,4,"(240, 300)",109,2,1,1,0.97,1,1.0,1,0,0,1.94,28.41,5,1
19-01-16_YC011,83,176,2279,1,1,1,1,0.97,1,0,0,1,2.0,28.31,19.48527545928955,0,1,5,"(300, 360)",118,2,1,1,0.96,1,1.0,1,0,0,2.06,28.3,14,1
19-01-16_YC011,83,176,2279,1,1,1,1,0.97,1,0,0,1,2.0,28.31,19.48527545928955,0,1,6,"(360, 420)",119,1,1,1,0.97,1,1.0,1,0,0,2.06,27.88,7,1
19-01-16_YC011,83,176,2279,1,1,1,1,0.97,1,0,0,1,2.0,28.31,19.48527545928955,0,1,7,"(420, 480)",114,1,1,1,0.97,1,1.0,1,0,0,2.01,28.61,5,1
19-01-16_YC011,83,176,2279,1,1,1,1,0.97,1,0,0,1,2.0,28.31,19.48527545928955,0,1,8,"(480, 540)",112,1,1,1,0.96,1,1.0,1,0,0,1.98,28.66,7,1
19-01-16_YC011,83,176,2279,1,1,1,1,0.97,1,0,0,1,2.0,28.31,19.48527545928955,0,1,9,"(540, 600)",117,1,1,1,0.96,1,1.0,1,0,0,2.08,28.76,14,1
19-01-16_YC011,83,176,2279,1,1,1,1,0.97,1,0,0,1,2.0,28.31,19.48527545928955,0,1,10,"(600, 660)",113,1,1,1,0.96,1,1.0,1,0,0,2.07,27.66,2,1
19-01-16_YC011,83,176,2279,1,1,1,1,0.97,1,0,0,1,2.0,28.31,19.48527545928955,0,1,11,"(660, 720)",117,1,1,1,0.97,1,1.0,1,0,0,2.07,27.84,2,1
19-01-16_YC011,83,176,2279,1,1,1,1,0.97,1,0,0,1,2.0,28.31,19.48527545928955,0,1,12,"(720, 780)",112,3,1,1,0.98,1,1.0,1,0,0,1.97,28.7,4,1
19-01-16_YC011,83,176,2279,1,1,1,1,0.97,1,0,0,1,2.0,28.31,19.48527545928955,0,1,13,"(780, 840)",111,3,1,1,0.98,1,1.0,1,0,0,1.97,28.35,1,1
19-01-16_YC011,83,176,2279,1,1,1,1,0.97,1,0,0,1,2.0,28.31,19.48527545928955,0,1,14,"(840, 900)",109,1,1,1,0.97,1,1.0,1,0,0,1.92,27.94,3,1
19-01-16_YC011,83,176,2279,1,1,1,1,0.97,1,0,0,1,2.0,28.31,19.48527545928955,0,1,15,"(900, 960)",105,1,1,1,0.97,1,1.0,1,0,0,1.86,27.94,11,1
19-01-16_YC011,83,176,2279,1,1,1,1,0.97,1,0,0,1,2.0,28.31,19.48527545928955,0,1,16,"(960, 1020)",112,1,1,1,0.97,1,1.0,1,0,0,2.03,28.31,6,1
19-01-16_YC011,83,176,2279,1,1,1,1,0.97,1,0,0,1,2.0,28.31,19.48527545928955,0,1,17,"(1020, 1080)",122,1,1,1,0.97,1,1.0,1,0,0,2.16,27.93,4,1
19-01-16_YC011,83,176,2279,1,1,1,1,0.97,1,0,0,1,2.0,28.31,19.48527545928955,0,1,18,"(1080, 1140)",108,1,1,1,0.97,1,1.0,1,0,0,1.97,27.73,14,1
19-01-16_YC011,83,176,2279,1,1,1,1,0.97,1,0,0,1,2.0,28.31,19.48527545928955,0,1,19,"(1140, 1200)",113,2,1,1,0.97,1,1.0,1,0,0,1.95,28.07,14,1
