Sample,Unit,Unit_Peak_Ch,Unit_Spikes,Unit_Spikes_dummy,Unit_Wvf_Peaks,Unit_Wvf_Peaks_dummy,Unit_Biggest_Peak,Unit_vs_Temp_CS,Unit_vs_Temp_CS_dummy,Unit_RPV,Unit_Fp,Unit_Fp_dummy,Unit_MFR,Unit_MeanAmp,Unit_MinAmp,Unit_Missing_Spikes,Unit_Missing_Spikes_dummy,Chunk,Chunk_Len,Chunk_Spikes,Chunk_Wvf_Peaks,Chunk_Wvf_Peaks_dummy,Chunk_Biggest_Peak,Chunk_vs_Temp_CS,Chunk_vs_Temp_CS_dummy,Chunk_vs_Unit_CS,Chunk_vs_Unit_CS_dummy,Chunk_RPV,Chunk_Fp,Chunk_MFR,Chunk_MA,Chunk_Missing_Spikes,Chunk_Missing_Spikes_dummy
19-01-16_YC011,78,171,19630,1,2,1,1,0.98,1,0,0,1,18.92,14.61,12.291004819869995,16,1,0,"(0, 60)",1186,2,1,1,0.96,1,1.0,1,0,0,22.49,14.67,18,1
19-01-16_YC011,78,171,19630,1,2,1,1,0.98,1,0,0,1,18.92,14.61,12.291004819869995,16,1,1,"(60, 120)",1459,2,1,1,0.96,1,1.0,1,0,0,27.78,14.64,23,1
19-01-16_YC011,78,171,19630,1,2,1,1,0.98,1,0,0,1,18.92,14.61,12.291004819869995,16,1,2,"(120, 180)",1446,2,1,1,0.97,1,1.0,1,0,0,28.24,14.79,24,1
19-01-16_YC011,78,171,19630,1,2,1,1,0.98,1,0,0,1,18.92,14.61,12.291004819869995,16,1,3,"(180, 240)",833,2,1,1,0.98,1,1.0,1,0,0,15.74,14.83,13,1
19-01-16_YC011,78,171,19630,1,2,1,1,0.98,1,0,0,1,18.92,14.61,12.291004819869995,16,1,4,"(240, 300)",883,2,1,1,0.97,1,1.0,1,0,0,16.98,14.63,16,1
19-01-16_YC011,78,171,19630,1,2,1,1,0.98,1,0,0,1,18.92,14.61,12.291004819869995,16,1,5,"(300, 360)",1050,2,1,1,0.98,1,1.0,1,0,0,19.66,14.57,18,1
19-01-16_YC011,78,171,19630,1,2,1,1,0.98,1,0,0,1,18.92,14.61,12.291004819869995,16,1,6,"(360, 420)",1161,2,1,1,0.98,1,1.0,1,0,0,21.72,14.61,20,1
19-01-16_YC011,78,171,19630,1,2,1,1,0.98,1,0,0,1,18.92,14.61,12.291004819869995,16,1,7,"(420, 480)",996,2,1,1,0.97,1,1.0,1,0,0,18.73,14.51,15,1
19-01-16_YC011,78,171,19630,1,2,1,1,0.98,1,0,0,1,18.92,14.61,12.291004819869995,16,1,8,"(480, 540)",1046,2,1,1,0.97,1,1.0,1,0,0,20.62,14.54,28,1
19-01-16_YC011,78,171,19630,1,2,1,1,0.98,1,0,0,1,18.92,14.61,12.291004819869995,16,1,9,"(540, 600)",899,2,1,1,0.98,1,1.0,1,0,0,17.52,14.54,13,1
19-01-16_YC011,78,171,19630,1,2,1,1,0.98,1,0,0,1,18.92,14.61,12.291004819869995,16,1,10,"(600, 660)",996,2,1,1,0.97,1,1.0,1,0,0,18.87,14.44,16,1
19-01-16_YC011,78,171,19630,1,2,1,1,0.98,1,0,0,1,18.92,14.61,12.291004819869995,16,1,11,"(660, 720)",1001,2,1,1,0.97,1,1.0,1,0,0,19.01,14.4,20,1
19-01-16_YC011,78,171,19630,1,2,1,1,0.98,1,0,0,1,18.92,14.61,12.291004819869995,16,1,12,"(720, 780)",892,2,1,1,0.98,1,1.0,1,0,0,17.0,14.33,24,1
19-01-16_YC011,78,171,19630,1,2,1,1,0.98,1,0,0,1,18.92,14.61,12.291004819869995,16,1,13,"(780, 840)",898,2,1,1,0.98,1,1.0,1,0,0,16.89,14.35,23,1
19-01-16_YC011,78,171,19630,1,2,1,1,0.98,1,0,0,1,18.92,14.61,12.291004819869995,16,1,14,"(840, 900)",829,2,1,1,0.98,1,1.0,1,0,0,16.07,14.3,20,1
19-01-16_YC011,78,171,19630,1,2,1,1,0.98,1,0,0,1,18.92,14.61,12.291004819869995,16,1,15,"(900, 960)",798,2,1,1,0.98,1,1.0,1,0,0,15.08,14.38,15,1
19-01-16_YC011,78,171,19630,1,2,1,1,0.98,1,0,0,1,18.92,14.61,12.291004819869995,16,1,16,"(960, 1020)",994,2,1,1,0.98,1,1.0,1,0,0,19.24,14.36,22,1
19-01-16_YC011,78,171,19630,1,2,1,1,0.98,1,0,0,1,18.92,14.61,12.291004819869995,16,1,17,"(1020, 1080)",710,2,1,1,0.98,1,1.0,1,0,0,13.6,14.33,22,1
19-01-16_YC011,78,171,19630,1,2,1,1,0.98,1,0,0,1,18.92,14.61,12.291004819869995,16,1,18,"(1080, 1140)",766,2,1,1,0.98,1,1.0,1,0,0,15.4,14.23,17,1
19-01-16_YC011,78,171,19630,1,2,1,1,0.98,1,0,0,1,18.92,14.61,12.291004819869995,16,1,19,"(1140, 1200)",787,2,1,1,0.97,1,1.0,1,0,0,14.84,14.15,26,1
