Sample,Unit,GoodChunks,WvfChunks
19-11-11_YC040_probe1,107,"[0, 1, 3, 4, 5, 6, 7, 10, 12, 13, 14]",[10]
19-11-11_YC040_probe1,113,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","[17, 19, 18]"
19-11-11_YC040_probe1,120,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","[9, 10, 11]"
19-11-11_YC040_probe1,121,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 15, 17, 19]","[3, 4, 5]"
19-11-11_YC040_probe1,130,"[0, 2, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]","[9, 10]"
19-11-11_YC040_probe1,132,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","[17, 19, 18]"
19-11-11_YC040_probe1,133,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","[17, 19, 18]"
19-11-11_YC040_probe1,134,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","[6, 7, 8]"
19-11-11_YC040_probe1,150,"[0, 1, 2, 8, 9, 10, 11, 12, 13, 15, 16, 18]","[15, 16]"
19-11-11_YC040_probe1,151,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]","[13, 14, 15]"
19-11-11_YC040_probe1,155,"[0, 1, 2, 3, 6, 7, 8, 10, 11, 12, 15, 17, 18, 19]","[6, 7, 8]"
19-11-11_YC040_probe1,156,"[0, 1, 2, 6, 7, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19]","[12, 13, 14]"
19-11-11_YC040_probe1,157,"[0, 2, 3, 4, 5, 6, 7, 8, 9, 11, 13, 14, 15, 16, 17, 18, 19]","[6, 7, 8]"
19-11-11_YC040_probe1,162,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 17, 18, 19]","[17, 19, 18]"
19-11-11_YC040_probe1,169,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","[16, 17, 18]"
19-11-11_YC040_probe1,17,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","[17, 19, 18]"
19-11-11_YC040_probe1,173,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","[6, 7, 8]"
19-11-11_YC040_probe1,182,"[0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","[15, 16, 17]"
19-11-11_YC040_probe1,183,"[0, 9, 10, 12, 13]",[0]
19-11-11_YC040_probe1,188,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","[6, 7, 8]"
19-11-11_YC040_probe1,192,[19],[19]
19-11-11_YC040_probe1,194,"[0, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]","[11, 12, 13]"
19-11-11_YC040_probe1,196,"[0, 1, 3, 5, 7, 8, 9, 10, 15, 16, 17, 18, 19]","[15, 16, 17]"
19-11-11_YC040_probe1,203,"[0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","[6, 7, 8]"
19-11-11_YC040_probe1,205,"[4, 7, 8, 13, 16, 19]",[4]
19-11-11_YC040_probe1,208,"[0, 1, 2, 5, 10, 14, 17, 19]",[17]
19-11-11_YC040_probe1,212,"[9, 11, 13, 15, 16]",[11]
19-11-11_YC040_probe1,218,"[0, 3, 4, 6, 7, 8, 9, 11, 15, 16, 17, 18, 19]","[6, 7]"
19-11-11_YC040_probe1,219,"[0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17, 18, 19]","[0, 1, 2]"
19-11-11_YC040_probe1,220,"[0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19]","[17, 18]"
19-11-11_YC040_probe1,224,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","[0, 1, 2]"
19-11-11_YC040_probe1,23,"[0, 1, 2, 3, 6, 7, 9, 10, 12, 14, 17, 19]","[9, 10]"
19-11-11_YC040_probe1,230,"[0, 1, 2, 11, 16]","[1, 2]"
19-11-11_YC040_probe1,231,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","[4, 5, 6]"
19-11-11_YC040_probe1,232,"[0, 1, 5, 9]","[0, 1]"
19-11-11_YC040_probe1,234,"[1, 4]",[4]
19-11-11_YC040_probe1,237,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 14, 15, 16, 17, 18, 19]","[6, 7, 8]"
19-11-11_YC040_probe1,239,"[0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19]","[17, 19, 18]"
